frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,10
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,10
0,$4008_linear,47
0,$400C_const,1
0,$400C_vol,6
0,$400E_period,3
0,$400E_mode,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,10
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,10
1,$4008_linear,47
1,$400C_const,1
1,$400C_vol,3
1,$400E_period,3
1,$400E_mode,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,10
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,10
2,$4008_linear,47
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,3
2,$400E_mode,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,10
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,10
3,$4008_linear,47
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,3
3,$400E_mode,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,10
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,10
4,$4008_linear,47
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,3
4,$400E_mode,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,10
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,10
5,$4008_linear,47
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,3
5,$400E_mode,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,8
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,10
6,$4008_linear,47
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,3
6,$400E_mode,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,8
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,10
7,$4008_linear,47
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,3
7,$400E_mode,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,8
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,10
8,$4008_linear,47
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,3
8,$400E_mode,0
9,$4002_period,1
9,$400B_length,0
9,$4006_period,1
9,$400A_period,1
9,$400B_length,0
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,10
10,$4002_period,455
10,$400B_length,8
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,10
10,$4006_period,1361
10,$4008_linear,47
10,$400A_period,571
