frame,parameter,value
163,$400E_period,0
163,$400E_mode,0
163,$400C_const,1
163,$400C_vol,0
163,$4008_linear,0
163,$4004_duty,3
163,$4004_const,1
163,$4004_vol,14
163,$4005_sweep,0
163,$4004_duty,0
163,$4004_const,1
163,$4004_vol,0
163,$4001_sweep,0
163,$4000_duty,0
163,$4000_const,1
163,$4000_vol,0
195,$4000_duty,0
195,$4000_const,1
195,$4000_vol,9
195,$4000_duty,0
195,$4000_const,1
195,$4000_vol,9
195,$4001_sweep,136
195,$4002_period,1537
195,$400B_length,11
196,$4000_duty,0
196,$4000_const,1
196,$4000_vol,9
197,$4000_duty,0
197,$4000_const,1
197,$4000_vol,9
198,$4000_duty,0
198,$4000_const,1
198,$4000_vol,9
199,$4000_duty,0
199,$4000_const,1
199,$4000_vol,9
200,$4000_duty,0
200,$4000_const,1
200,$4000_vol,8
201,$4000_duty,0
201,$4000_const,1
201,$4000_vol,8
202,$4000_duty,0
202,$4000_const,1
202,$4000_vol,8
203,$4000_duty,0
203,$4000_const,1
203,$4000_vol,7
204,$4000_duty,0
204,$4000_const,1
204,$4000_vol,7
205,$4000_duty,0
205,$4000_const,1
205,$4000_vol,1
206,$4000_duty,0
206,$4000_const,1
206,$4000_vol,5
207,$4000_duty,0
207,$4000_const,1
207,$4000_vol,4
208,$4000_duty,0
208,$4000_const,1
208,$4000_vol,3
209,$4000_duty,0
209,$4000_const,1
209,$4000_vol,2
210,$4000_duty,0
210,$4000_const,1
210,$4000_vol,2
211,$4000_duty,0
211,$4000_const,1
211,$4000_vol,2
211,$4000_duty,0
211,$4000_const,1
211,$4000_vol,9
211,$4000_duty,0
211,$4000_const,1
211,$4000_vol,9
211,$4001_sweep,136
211,$4002_period,2129
211,$400B_length,12
212,$4000_duty,0
212,$4000_const,1
212,$4000_vol,9
213,$4000_duty,0
213,$4000_const,1
213,$4000_vol,9
214,$4000_duty,0
214,$4000_const,1
214,$4000_vol,8
215,$4000_duty,0
215,$4000_const,1
215,$4000_vol,7
216,$4000_duty,0
216,$4000_const,1
216,$4000_vol,9
217,$4000_duty,0
217,$4000_const,1
217,$4000_vol,9
218,$4000_duty,0
218,$4000_const,1
218,$4000_vol,9
219,$4000_duty,0
219,$4000_const,1
219,$4000_vol,9
220,$4000_duty,0
220,$4000_const,1
220,$4000_vol,8
221,$4000_duty,0
221,$4000_const,1
221,$4000_vol,8
222,$4000_duty,0
222,$4000_const,1
222,$4000_vol,8
223,$4000_duty,0
223,$4000_const,1
223,$4000_vol,7
224,$4000_duty,0
224,$4000_const,1
224,$4000_vol,7
225,$4000_duty,0
225,$4000_const,1
225,$4000_vol,7
226,$4000_duty,0
226,$4000_const,1
226,$4000_vol,7
227,$4000_duty,0
227,$4000_const,1
227,$4000_vol,7
228,$4000_duty,0
228,$4000_const,1
228,$4000_vol,7
229,$4000_duty,0
229,$4000_const,1
229,$4000_vol,7
230,$4000_duty,0
230,$4000_const,1
230,$4000_vol,7
231,$4000_duty,0
231,$4000_const,1
231,$4000_vol,7
232,$4000_duty,0
232,$4000_const,1
232,$4000_vol,7
233,$4000_duty,0
233,$4000_const,1
233,$4000_vol,7
234,$4000_duty,0
234,$4000_const,1
234,$4000_vol,7
235,$4000_duty,0
235,$4000_const,1
235,$4000_vol,7
236,$4000_duty,0
236,$4000_const,1
236,$4000_vol,7
237,$4000_duty,0
237,$4000_const,1
237,$4000_vol,7
238,$4000_duty,0
238,$4000_const,1
238,$4000_vol,7
239,$4000_duty,0
239,$4000_const,1
239,$4000_vol,7
240,$4000_duty,0
240,$4000_const,1
240,$4000_vol,7
241,$4000_duty,0
241,$4000_const,1
241,$4000_vol,7
242,$4000_duty,0
242,$4000_const,1
242,$4000_vol,7
243,$4000_duty,0
243,$4000_const,1
243,$4000_vol,7
244,$4000_duty,0
244,$4000_const,1
244,$4000_vol,7
245,$4000_duty,0
245,$4000_const,1
245,$4000_vol,7
246,$4000_duty,0
246,$4000_const,1
246,$4000_vol,7
247,$4000_duty,0
247,$4000_const,1
247,$4000_vol,7
248,$4000_duty,0
248,$4000_const,1
248,$4000_vol,7
249,$4000_duty,0
249,$4000_const,1
249,$4000_vol,7
250,$4000_duty,0
250,$4000_const,1
250,$4000_vol,7
251,$4000_duty,0
251,$4000_const,1
251,$4000_vol,7
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,7
253,$4000_duty,0
253,$4000_const,1
253,$4000_vol,7
254,$4000_duty,0
254,$4000_const,1
254,$4000_vol,7
255,$4000_duty,0
255,$4000_const,1
255,$4000_vol,7
256,$4000_duty,0
256,$4000_const,1
256,$4000_vol,7
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,7
258,$4000_duty,0
258,$4000_const,1
258,$4000_vol,7
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,7
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,7
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,7
262,$4000_duty,0
262,$4000_const,1
262,$4000_vol,7
263,$4000_duty,0
263,$4000_const,1
263,$4000_vol,7
264,$4000_duty,0
264,$4000_const,1
264,$4000_vol,7
265,$4000_duty,0
265,$4000_const,1
265,$4000_vol,7
266,$4000_duty,0
266,$4000_const,1
266,$4000_vol,7
267,$4000_duty,0
267,$4000_const,1
267,$4000_vol,7
268,$4000_duty,0
268,$4000_const,1
268,$4000_vol,7
269,$4000_duty,0
269,$4000_const,1
269,$4000_vol,7
270,$4000_duty,0
270,$4000_const,1
270,$4000_vol,7
271,$4000_duty,0
271,$4000_const,1
271,$4000_vol,7
272,$4000_duty,0
272,$4000_const,1
272,$4000_vol,7
273,$4000_duty,0
273,$4000_const,1
273,$4000_vol,7
274,$4000_duty,0
274,$4000_const,1
274,$4000_vol,7
275,$4000_duty,0
275,$4000_const,1
275,$4000_vol,7
276,$4000_duty,0
276,$4000_const,1
276,$4000_vol,7
277,$4000_duty,0
277,$4000_const,1
277,$4000_vol,7
278,$4000_duty,0
278,$4000_const,1
278,$4000_vol,7
279,$4000_duty,0
279,$4000_const,1
279,$4000_vol,7
280,$4000_duty,0
280,$4000_const,1
