frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,5
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,9
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,2
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,11
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,1
2,$4006_period,91
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,13
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,2
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,13
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,5
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,11
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,8
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,8
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,9
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,5
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,11
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,2
8,$4002_period,135
8,$400B_length,8
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,13
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,1
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,13
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,2
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,11
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,5
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,8
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,8
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,5
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,9
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,2
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,11
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,1
14,$4006_period,121
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,13
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,2
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,13
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,5
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,11
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,8
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,8
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,9
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,5
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,11
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,2
20,$4002_period,101
20,$400B_length,8
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,13
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,1
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,13
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,2
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,11
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,5
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,8
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,8
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,5
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,9
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,2
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,11
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,1
26,$4006_period,91
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,13
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,2
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,13
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,5
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,11
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,8
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,8
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,9
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,5
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,11
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,2
32,$4002_period,135
32,$400B_length,8
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,13
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,1
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,13
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,2
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,11
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,5
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,8
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,8
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,5
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,9
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,2
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,11
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,1
38,$4006_period,121
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,13
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,2
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,13
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,5
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,11
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,8
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,8
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,9
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,5
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,11
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,2
44,$4002_period,101
44,$400B_length,8
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,13
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,1
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,13
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,2
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,11
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,5
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,8
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,8
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,5
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,9
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,2
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,11
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,1
50,$4006_period,91
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,13
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,2
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,13
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,5
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,11
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,8
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,8
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,9
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,5
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,11
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,2
56,$4002_period,135
56,$400B_length,8
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,13
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,1
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,13
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,2
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,11
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,5
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,8
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,8
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,5
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,9
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,2
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,11
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,1
62,$4006_period,121
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,13
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,2
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,13
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,5
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,11
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,8
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,8
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,9
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,5
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,11
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,2
68,$4002_period,101
68,$400B_length,8
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,13
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,1
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,13
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,2
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,11
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,5
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,8
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,8
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,5
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,9
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,2
73,$4004_duty,2
73,$4004_const,1
73,$4004_vol,11
74,$4000_duty,2
74,$4000_const,1
74,$4000_vol,1
74,$4006_period,91
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,13
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,2
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,13
76,$4000_duty,2
76,$4000_const,1
76,$4000_vol,5
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,11
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,8
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,8
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,9
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,5
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,11
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,2
80,$4002_period,135
80,$400B_length,8
80,$4000_duty,2
80,$4000_const,1
80,$4000_vol,13
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,1
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,13
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,2
82,$4000_duty,2
82,$4000_const,1
82,$4000_vol,11
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,5
83,$4000_duty,2
83,$4000_const,1
83,$4000_vol,8
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,8
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,5
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,9
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,2
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,11
86,$4000_duty,2
86,$4000_const,1
86,$4000_vol,1
86,$4006_period,121
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,13
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,2
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,13
88,$4000_duty,2
88,$4000_const,1
88,$4000_vol,5
88,$4004_duty,2
88,$4004_const,1
88,$4004_vol,11
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,8
89,$4004_duty,2
89,$4004_const,1
89,$4004_vol,8
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,9
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,5
91,$4000_duty,2
91,$4000_const,1
91,$4000_vol,11
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,2
92,$4002_period,101
92,$400B_length,8
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,13
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,1
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,13
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,2
94,$4000_duty,2
94,$4000_const,1
94,$4000_vol,11
94,$4004_duty,2
94,$4004_const,1
94,$4004_vol,5
95,$4000_duty,2
95,$4000_const,1
95,$4000_vol,8
95,$4004_duty,2
95,$4004_const,1
95,$4004_vol,8
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,5
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,9
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,2
97,$4004_duty,2
97,$4004_const,1
97,$4004_vol,11
98,$4000_duty,2
98,$4000_const,1
98,$4000_vol,1
98,$4006_period,91
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,13
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,2
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,13
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,5
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,11
101,$4000_duty,2
101,$4000_const,1
101,$4000_vol,8
101,$4004_duty,2
101,$4004_const,1
101,$4004_vol,8
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,9
102,$4004_duty,2
102,$4004_const,1
102,$4004_vol,5
103,$4000_duty,2
103,$4000_const,1
103,$4000_vol,11
103,$4004_duty,2
103,$4004_const,1
103,$4004_vol,2
104,$4002_period,135
104,$400B_length,8
104,$4000_duty,2
104,$4000_const,1
104,$4000_vol,13
104,$4004_duty,2
104,$4004_const,1
104,$4004_vol,1
105,$4000_duty,2
105,$4000_const,1
105,$4000_vol,13
105,$4004_duty,2
105,$4004_const,1
105,$4004_vol,2
106,$4000_duty,2
106,$4000_const,1
106,$4000_vol,11
106,$4004_duty,2
