frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,10
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,10
0,$4008_linear,127
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,7
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,7
1,$4008_linear,127
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,10
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,10
2,$4008_linear,127
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,7
2,$400E_mode,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,10
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,10
3,$4008_linear,127
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,10
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,10
4,$4008_linear,127
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,7
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,7
5,$4008_linear,127
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,10
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,10
6,$4008_linear,127
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,10
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,10
7,$4008_linear,127
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,10
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,10
8,$4008_linear,127
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,7
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,7
9,$4008_linear,127
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,6
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,10
10,$4008_linear,127
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,4
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,10
11,$4008_linear,127
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,3
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,8
12,$4008_linear,127
12,$400C_const,1
12,$400C_vol,13
12,$400E_period,7
12,$400E_mode,0
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,1
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,6
13,$4008_linear,127
13,$400C_const,1
13,$400C_vol,10
13,$400E_period,7
13,$400E_mode,0
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,0
14,$4004_duty,0
