frame,parameter,value
146,$4000_duty,0
146,$4000_const,0
146,$4000_vol,0
146,$4002_period,1
146,$400B_length,0
146,$4001_sweep,8
146,$4004_duty,0
146,$4004_const,0
146,$4004_vol,0
146,$4006_period,1
146,$4005_sweep,8
146,$4008_linear,0
146,$400A_period,1
146,$400B_length,0
146,$400C_const,0
146,$400C_vol,0
146,$400E_period,0
146,$400E_mode,0
209,$4000_duty,0
209,$4000_const,0
209,$4000_vol,0
209,$4002_period,1
209,$400B_length,0
209,$4001_sweep,8
209,$4004_duty,0
209,$4004_const,0
209,$4004_vol,0
209,$4006_period,1
209,$4005_sweep,8
209,$4008_linear,0
209,$400A_period,1
209,$400B_length,0
209,$400C_const,0
209,$400C_vol,0
209,$400E_period,0
209,$400E_mode,0
209,$4000_duty,2
209,$4000_const,1
209,$4000_vol,14
209,$4004_duty,2
209,$4004_const,1
209,$4004_vol,13
209,$4008_linear,95
209,$400A_period,855
209,$400B_length,9
225,$4000_duty,2
225,$4000_const,1
225,$4000_vol,14
225,$4001_sweep,8
225,$4002_period,359
225,$400B_length,8
225,$4004_duty,2
225,$4004_const,1
225,$4004_vol,13
225,$4005_sweep,8
225,$4006_period,427
226,$4000_duty,2
226,$4000_const,1
226,$4000_vol,14
226,$4004_duty,2
226,$4004_const,1
226,$4004_vol,13
227,$4000_duty,2
227,$4000_const,1
227,$4000_vol,14
227,$4004_duty,2
227,$4004_const,1
227,$4004_vol,13
228,$4000_duty,2
228,$4000_const,1
228,$4000_vol,14
228,$4004_duty,2
228,$4004_const,1
228,$4004_vol,13
229,$4000_duty,2
229,$4000_const,1
229,$4000_vol,14
229,$4004_duty,2
229,$4004_const,1
229,$4004_vol,13
230,$4000_duty,2
230,$4000_const,1
230,$4000_vol,0
230,$4004_duty,2
230,$4004_const,1
230,$4004_vol,0
231,$4000_duty,2
231,$4000_const,1
231,$4000_vol,0
231,$4004_duty,2
231,$4004_const,1
231,$4004_vol,0
232,$4000_duty,2
232,$4000_const,1
232,$4000_vol,0
232,$4004_duty,2
232,$4004_const,1
232,$4004_vol,0
233,$4000_duty,2
233,$4000_const,1
233,$4000_vol,7
233,$4004_duty,2
233,$4004_const,1
233,$4004_vol,6
234,$4000_duty,2
234,$4000_const,1
234,$4000_vol,7
234,$4004_duty,2
234,$4004_const,1
234,$4004_vol,6
235,$4000_duty,2
235,$4000_const,1
235,$4000_vol,7
235,$4004_duty,2
235,$4004_const,1
235,$4004_vol,6
236,$4000_duty,2
236,$4000_const,1
236,$4000_vol,7
236,$4004_duty,2
236,$4004_const,1
236,$4004_vol,6
237,$4000_duty,2
237,$4000_const,1
237,$4000_vol,7
237,$4004_duty,2
237,$4004_const,1
237,$4004_vol,6
238,$4000_duty,2
238,$4000_const,1
238,$4000_vol,7
238,$4004_duty,2
238,$4004_const,1
238,$4004_vol,6
239,$4000_duty,2
239,$4000_const,1
239,$4000_vol,3
239,$4004_duty,2
239,$4004_const,1
239,$4004_vol,2
241,$4000_duty,2
241,$4000_const,1
241,$4000_vol,14
241,$4001_sweep,8
241,$4002_period,381
241,$400B_length,8
241,$4004_duty,2
241,$4004_const,1
241,$4004_vol,13
241,$4005_sweep,8
241,$4006_period,453
241,$4008_linear,31
241,$400A_period,427
241,$400B_length,8
242,$4000_duty,2
242,$4000_const,1
242,$4000_vol,14
242,$4004_duty,2
242,$4004_const,1
242,$4004_vol,13
243,$4000_duty,2
243,$4000_const,1
243,$4000_vol,14
243,$4004_duty,2
243,$4004_const,1
243,$4004_vol,13
244,$4000_duty,2
244,$4000_const,1
244,$4000_vol,14
244,$4004_duty,2
244,$4004_const,1
244,$4004_vol,13
245,$4000_duty,2
245,$4000_const,1
245,$4000_vol,14
245,$4004_duty,2
245,$4004_const,1
245,$4004_vol,13
246,$4000_duty,2
246,$4000_const,1
246,$4000_vol,0
246,$4004_duty,2
246,$4004_const,1
246,$4004_vol,0
247,$4000_duty,2
247,$4000_const,1
247,$4000_vol,0
247,$4004_duty,2
247,$4004_const,1
247,$4004_vol,0
248,$4000_duty,2
248,$4000_const,1
248,$4000_vol,0
248,$4004_duty,2
248,$4004_const,1
248,$4004_vol,0
249,$4000_duty,2
249,$4000_const,1
249,$4000_vol,7
249,$4004_duty,2
249,$4004_const,1
249,$4004_vol,6
250,$4000_duty,2
250,$4000_const,1
250,$4000_vol,7
250,$4004_duty,2
250,$4004_const,1
250,$4004_vol,6
251,$4000_duty,2
251,$4000_const,1
251,$4000_vol,7
251,$4004_duty,2
251,$4004_const,1
251,$4004_vol,6
252,$4000_duty,2
252,$4000_const,1
252,$4000_vol,7
252,$4004_duty,2
252,$4004_const,1
252,$4004_vol,6
253,$4000_duty,2
253,$4000_const,1
253,$4000_vol,7
253,$4004_duty,2
253,$4004_const,1
253,$4004_vol,6
254,$4000_duty,2
254,$4000_const,1
254,$4000_vol,7
254,$4004_duty,2
254,$4004_const,1
254,$4004_vol,6
255,$4000_duty,2
255,$4000_const,1
255,$4000_vol,3
255,$4004_duty,2
255,$4004_const,1
255,$4004_vol,2
257,$4000_duty,2
257,$4000_const,1
257,$4000_vol,14
257,$4001_sweep,8
257,$4002_period,321
257,$400B_length,8
257,$4004_duty,2
257,$4004_const,1
257,$4004_vol,13
257,$4005_sweep,8
257,$4006_period,381
258,$4000_duty,2
258,$4000_const,1
258,$4000_vol,14
258,$4004_duty,2
258,$4004_const,1
258,$4004_vol,13
259,$4000_duty,2
259,$4000_const,1
259,$4000_vol,14
259,$4004_duty,2
259,$4004_const,1
259,$4004_vol,13
260,$4000_duty,2
