frame,parameter,value
212,$4000_duty,0
212,$4000_const,1
212,$4000_vol,0
212,$4004_duty,0
212,$4004_const,1
212,$4004_vol,0
212,$4008_linear,0
212,$400C_const,1
212,$400C_vol,0
212,$4001_sweep,8
212,$4005_sweep,8
264,$400C_const,1
264,$400C_vol,0
264,$4001_sweep,8
264,$4005_sweep,8
265,$400C_const,1
265,$400C_vol,15
265,$400E_period,4
265,$400E_mode,1
266,$400C_const,1
266,$400C_vol,9
266,$400E_period,4
266,$400E_mode,1
267,$400C_const,1
267,$400C_vol,6
267,$400E_period,4
267,$400E_mode,1
269,$400C_const,1
269,$400C_vol,15
269,$400E_period,4
269,$400E_mode,1
270,$400C_const,1
270,$400C_vol,9
270,$400E_period,4
270,$400E_mode,1
271,$400C_const,1
271,$400C_vol,6
271,$400E_period,4
271,$400E_mode,1
273,$400C_const,1
273,$400C_vol,15
273,$400E_period,4
273,$400E_mode,1
274,$400C_const,1
274,$400C_vol,9
274,$400E_period,4
274,$400E_mode,1
275,$400C_const,1
275,$400C_vol,6
275,$400E_period,4
275,$400E_mode,1
277,$400C_const,1
277,$400C_vol,15
277,$400E_period,4
277,$400E_mode,1
278,$400C_const,1
278,$400C_vol,9
278,$400E_period,4
278,$400E_mode,1
279,$400C_const,1
279,$400C_vol,6
279,$400E_period,4
279,$400E_mode,1
281,$400C_const,1
281,$400C_vol,15
281,$400E_period,4
281,$400E_mode,1
282,$400C_const,1
282,$400C_vol,9
282,$400E_period,4
282,$400E_mode,1
283,$400C_const,1
283,$400C_vol,6
283,$400E_period,4
283,$400E_mode,1
285,$400C_const,1
285,$400C_vol,15
285,$400E_period,4
285,$400E_mode,1
286,$400C_const,1
286,$400C_vol,9
286,$400E_period,4
286,$400E_mode,1
287,$400C_const,1
287,$400C_vol,6
287,$400E_period,4
287,$400E_mode,1
289,$400C_const,1
289,$400C_vol,15
289,$400E_period,4
289,$400E_mode,1
290,$400C_const,1
290,$400C_vol,9
290,$400E_period,4
290,$400E_mode,1
291,$400C_const,1
291,$400C_vol,6
291,$400E_period,4
291,$400E_mode,1
293,$400C_const,1
293,$400C_vol,15
293,$400E_period,4
293,$400E_mode,1
294,$400C_const,1
294,$400C_vol,9
294,$400E_period,4
294,$400E_mode,1
295,$400C_const,1
295,$400C_vol,6
295,$400E_period,4
295,$400E_mode,1
297,$400C_const,1
297,$400C_vol,15
297,$400E_period,4
297,$400E_mode,1
298,$400C_const,1
298,$400C_vol,9
298,$400E_period,4
298,$400E_mode,1
299,$400C_const,1
299,$400C_vol,6
299,$400E_period,4
299,$400E_mode,1
301,$400C_const,1
301,$400C_vol,15
301,$400E_period,4
301,$400E_mode,1
302,$400C_const,1
302,$400C_vol,9
302,$400E_period,4
302,$400E_mode,1
303,$400C_const,1
303,$400C_vol,6
303,$400E_period,4
303,$400E_mode,1
304,$400C_const,1
304,$400C_vol,4
304,$400E_period,4
304,$400E_mode,1
305,$400C_const,1
305,$400C_vol,2
305,$400E_period,4
305,$400E_mode,1
306,$400C_const,1
306,$400C_vol,0
306,$4001_sweep,8
306,$4005_sweep,8
336,$400C_const,1
336,$400C_vol,0
336,$4001_sweep,8
336,$4005_sweep,8
337,$400C_const,1
337,$400C_vol,15
337,$400E_period,4
337,$400E_mode,1
338,$400C_const,1
338,$400C_vol,9
338,$400E_period,4
338,$400E_mode,1
339,$400C_const,1
339,$400C_vol,6
339,$400E_period,4
339,$400E_mode,1
341,$400C_const,1
341,$400C_vol,15
341,$400E_period,4
341,$400E_mode,1
342,$400C_const,1
342,$400C_vol,9
342,$400E_period,4
342,$400E_mode,1
343,$400C_const,1
343,$400C_vol,6
343,$400E_period,4
343,$400E_mode,1
345,$400C_const,1
345,$400C_vol,15
345,$400E_period,4
345,$400E_mode,1
346,$400C_const,1
346,$400C_vol,9
346,$400E_period,4
346,$400E_mode,1
347,$400C_const,1
347,$400C_vol,6
347,$400E_period,4
347,$400E_mode,1
349,$400C_const,1
349,$400C_vol,15
349,$400E_period,4
349,$400E_mode,1
350,$400C_const,1
350,$400C_vol,9
350,$400E_period,4
350,$400E_mode,1
351,$400C_const,1
351,$400C_vol,6
351,$400E_period,4
351,$400E_mode,1
353,$400C_const,1
353,$400C_vol,15
353,$400E_period,4
353,$400E_mode,1
354,$400C_const,1
354,$400C_vol,9
354,$400E_period,4
354,$400E_mode,1
355,$400C_const,1
355,$400C_vol,6
355,$400E_period,4
355,$400E_mode,1
357,$400C_const,1
357,$400C_vol,15
357,$400E_period,4
357,$400E_mode,1
358,$400C_const,1
358,$400C_vol,9
358,$400E_period,4
358,$400E_mode,1
359,$400C_const,1
359,$400C_vol,6
359,$400E_period,4
359,$400E_mode,1
361,$400C_const,1
361,$400C_vol,15
361,$400E_period,4
361,$400E_mode,1
362,$400C_const,1
362,$400C_vol,9
362,$400E_period,4
362,$400E_mode,1
363,$400C_const,1
363,$400C_vol,6
363,$400E_period,4
363,$400E_mode,1
365,$400C_const,1
365,$400C_vol,15
365,$400E_period,4
365,$400E_mode,1
366,$400C_const,1
366,$400C_vol,9
366,$400E_period,4
366,$400E_mode,1
367,$400C_const,1
367,$400C_vol,6
367,$400E_period,4
367,$400E_mode,1
369,$400C_const,1
369,$400C_vol,15
369,$400E_period,4
369,$400E_mode,1
370,$400C_const,1
370,$400C_vol,9
370,$400E_period,4
370,$400E_mode,1
371,$400C_const,1
371,$400C_vol,6
371,$400E_period,4
371,$400E_mode,1
373,$400C_const,1
373,$400C_vol,15
373,$400E_period,4
373,$400E_mode,1
374,$400C_const,1
374,$400C_vol,9
374,$400E_period,4
374,$400E_mode,1
375,$400C_const,1
375,$400C_vol,6
375,$400E_period,4
375,$400E_mode,1
377,$400C_const,1
377,$400C_vol,15
377,$400E_period,4
377,$400E_mode,1
378,$400C_const,1
378,$400C_vol,9
378,$400E_period,4
378,$400E_mode,1
379,$400C_const,1
379,$400C_vol,6
379,$400E_period,4
379,$400E_mode,1
381,$400C_const,1
381,$400C_vol,15
381,$400E_period,4
381,$400E_mode,1
382,$400C_const,1
382,$400C_vol,9
382,$400E_period,4
382,$400E_mode,1
383,$400C_const,1
383,$400C_vol,6
383,$400E_period,4
383,$400E_mode,1
385,$400C_const,1
385,$400C_vol,15
385,$400E_period,4
385,$400E_mode,1
386,$400C_const,1
386,$400C_vol,9
386,$400E_period,4
386,$400E_mode,1
387,$400C_const,1
387,$400C_vol,6
387,$400E_period,4
387,$400E_mode,1
388,$400C_const,1
388,$400C_vol,4
388,$400E_period,4
388,$400E_mode,1
389,$400C_const,1
389,$400C_vol,2
389,$400E_period,4
389,$400E_mode,1
390,$400C_const,1
390,$400C_vol,0
390,$4001_sweep,8
390,$4005_sweep,8
414,$4004_duty,0
414,$4004_const,1
414,$4004_vol,0
414,$4001_sweep,8
414,$4005_sweep,8
415,$4004_duty,1
415,$4004_const,1
415,$4004_vol,15
415,$4006_period,339
416,$4004_duty,1
416,$4004_const,1
416,$4004_vol,0
418,$4004_duty,1
418,$4004_const,1
418,$4004_vol,15
418,$4006_period,201
419,$4004_duty,0
419,$4004_const,1
419,$4004_vol,0
419,$4001_sweep,8
419,$4005_sweep,8
631,$4000_duty,0
631,$4000_const,1
631,$4000_vol,0
631,$4004_duty,0
631,$4004_const,1
631,$4004_vol,0
631,$4008_linear,0
631,$400C_const,1
631,$400C_vol,0
631,$4001_sweep,8
631,$4005_sweep,8
632,$4000_duty,2
632,$4000_const,1
632,$4000_vol,8
632,$4002_period,509
632,$400B_length,8
632,$4004_duty,2
632,$4004_const,1
632,$4004_vol,6
632,$4006_period,255
632,$4008_linear,127
632,$400A_period,509
632,$400B_length,8
632,$400C_const,1
632,$400C_vol,9
632,$400E_period,11
632,$400E_mode,0
633,$4000_duty,2
633,$4000_const,1
633,$4000_vol,6
633,$4004_duty,2
633,$4004_const,1
633,$4004_vol,4
633,$4008_linear,127
633,$400C_const,1
633,$400C_vol,8
633,$400E_period,11
633,$400E_mode,0
634,$4000_duty,2
634,$4000_const,1
634,$4000_vol,6
634,$4004_duty,2
634,$4004_const,1
634,$4004_vol,1
634,$4008_linear,127
634,$400A_period,513
634,$400B_length,9
634,$400C_const,1
634,$400C_vol,4
634,$400E_period,11
634,$400E_mode,0
635,$4000_duty,2
635,$4000_const,1
635,$4000_vol,6
635,$4004_duty,2
635,$4004_const,1
635,$4004_vol,0
635,$4008_linear,127
635,$400C_const,1
635,$400C_vol,0
635,$400E_period,11
635,$400E_mode,0
636,$4000_duty,2
636,$4000_const,1
636,$4000_vol,6
636,$4004_duty,2
636,$4004_const,1
636,$4004_vol,3
636,$4008_linear,127
636,$400C_const,1
636,$400C_vol,0
636,$400E_period,11
636,$400E_mode,0
637,$4000_duty,2
637,$4000_const,1
637,$4000_vol,6
637,$4004_duty,2
637,$4004_const,1
637,$4004_vol,4
637,$4008_linear,127
637,$400C_const,1
637,$400C_vol,0
637,$400E_period,11
637,$400E_mode,0
638,$4000_duty,2
638,$4000_const,1
638,$4000_vol,6
638,$4004_duty,2
638,$4004_const,1
638,$4004_vol,4
638,$4008_linear,127
638,$400C_const,1
638,$400C_vol,0
638,$400E_period,10
638,$400E_mode,0
639,$4000_duty,2
639,$4000_const,1
639,$4000_vol,5
639,$4004_duty,2
639,$4004_const,1
639,$4004_vol,3
639,$4008_linear,127
640,$4000_duty,2
640,$4000_const,1
640,$4000_vol,5
640,$4004_duty,2
640,$4004_const,1
640,$4004_vol,0
640,$4008_linear,0
641,$4000_duty,2
641,$4000_const,1
641,$4000_vol,4
641,$4004_duty,2
641,$4004_const,1
