frame,parameter,value
0,$400C_const,1
0,$400C_vol,8
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,9
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,8
1,$400C_const,1
1,$400C_vol,7
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,9
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,8
2,$400C_const,1
2,$400C_vol,5
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,9
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,8
3,$400C_const,1
3,$400C_vol,5
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,9
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,8
4,$400C_const,1
4,$400C_vol,5
4,$4008_linear,0
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,0
5,$400C_const,1
5,$400C_vol,4
6,$400C_const,1
6,$400C_vol,4
6,$400A_period,579
6,$400B_length,1
6,$4008_linear,1
6,$4006_period,579
6,$4006_period,579
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,13
6,$4002_period,689
6,$400B_length,1
6,$4002_period,689
6,$400B_length,1
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,13
7,$400C_const,1
7,$400C_vol,4
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,13
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,13
8,$400C_const,1
8,$400C_vol,3
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,13
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,13
9,$400C_const,1
9,$400C_vol,3
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,10
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,10
10,$400C_const,1
10,$400C_vol,3
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,8
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,8
11,$400C_const,1
11,$400C_vol,3
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,8
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,8
12,$400C_const,1
12,$400C_vol,2
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,8
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,8
13,$400C_const,1
13,$400C_vol,2
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,8
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,8
14,$400C_const,1
14,$400C_vol,0
14,$4008_linear,0
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,8
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,8
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,8
15,$4000_duty,3
15,$4000_const,1
15,$4000_vol,8
16,$400C_const,1
16,$400C_vol,0
16,$400E_period,15
16,$400E_mode,0
16,$400E_period,15
16,$400E_mode,0
16,$400C_const,1
16,$400C_vol,11
16,$400A_period,579
16,$400B_length,1
16,$4008_linear,1
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,8
16,$4000_duty,3
16,$4000_const,1
16,$4000_vol,8
17,$400C_const,1
17,$400C_vol,11
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,8
17,$4000_duty,3
17,$4000_const,1
17,$4000_vol,8
18,$400C_const,1
18,$400C_vol,6
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,8
18,$4000_duty,3
18,$4000_const,1
18,$4000_vol,8
19,$400C_const,1
19,$400C_vol,1
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,8
19,$4000_duty,3
19,$4000_const,1
19,$4000_vol,8
20,$400C_const,1
20,$400C_vol,0
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,9
20,$4000_duty,3
20,$4000_const,1
20,$4000_vol,9
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,9
21,$4000_duty,3
21,$4000_const,1
21,$4000_vol,9
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,9
22,$4000_duty,3
22,$4000_const,1
22,$4000_vol,9
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,9
23,$4000_duty,3
23,$4000_const,1
