frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,3
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,8
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,3
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,8
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,3
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,6
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,3
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,6
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,3
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,4
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,3
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,4
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,4
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,2
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,4
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,2
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,4
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,2
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$4005_sweep,127
9,$4006_period,199
9,$400C_const,0
9,$400C_vol,0
9,$400E_period,3
9,$400E_mode,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
11,$4001_sweep,127
11,$4002_period,199
11,$400B_length,8
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,0
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,0
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,0
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,0
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,0
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,0
33,$4000_duty,0
33,$4000_const,1
33,$4000_vol,0
33,$4004_duty,0
33,$4004_const,1
33,$4004_vol,0
33,$4005_sweep,127
