frame,parameter,value
13,$4006_period,855
13,$4002_period,569
13,$400B_length,9
27,$4006_period,1015
27,$4002_period,569
27,$400B_length,9
42,$4006_period,855
42,$4002_period,639
42,$400B_length,9
56,$4006_period,639
56,$4002_period,569
56,$400B_length,9
71,$4006_period,569
71,$4002_period,507
71,$400B_length,8
85,$4006_period,639
85,$4002_period,479
85,$400B_length,8
99,$4006_period,855
99,$4002_period,507
99,$400B_length,8
114,$4006_period,639
114,$4002_period,569
114,$400B_length,9
128,$4006_period,569
128,$4002_period,507
128,$400B_length,8
143,$4006_period,507
143,$4002_period,479
143,$400B_length,8
157,$4006_period,479
157,$4002_period,427
157,$400B_length,8
171,$4006_period,379
171,$4002_period,379
171,$400B_length,8
186,$4006_period,479
186,$4002_period,319
186,$400B_length,8
200,$4006_period,507
200,$4002_period,379
200,$400B_length,8
215,$4006_period,569
215,$4002_period,427
215,$400B_length,8
229,$4006_period,639
229,$4002_period,479
229,$400B_length,8
243,$4006_period,855
243,$4002_period,507
243,$400B_length,8
258,$4002_period,569
258,$400B_length,9
266,$4006_period,855
272,$4006_period,855
281,$4002_period,569
281,$400B_length,9
287,$4006_period,639
287,$4002_period,569
287,$400B_length,9
301,$4002_period,507
301,$400B_length,8
309,$4006_period,639
315,$4006_period,639
324,$4002_period,507
324,$400B_length,8
330,$4006_period,639
330,$4002_period,507
330,$400B_length,8
344,$4006_period,1015
344,$4002_period,507
344,$400B_length,8
359,$4006_period,639
359,$4002_period,639
359,$400B_length,9
373,$4004_duty,0
373,$4004_const,1
373,$4004_vol,15
373,$4006_period,855
373,$4002_period,507
373,$400B_length,8
387,$4000_duty,0
387,$4000_const,1
387,$4000_vol,15
387,$4002_period,569
387,$400B_length,9
488,$4004_duty,0
488,$4004_const,1
488,$4004_vol,0
503,$4000_duty,0
503,$4000_const,1
503,$4000_vol,0
517,$4004_duty,1
517,$4004_const,0
517,$4004_vol,15
517,$4006_period,479
531,$4000_duty,1
531,$4000_const,0
531,$4000_vol,15
531,$4002_period,427
531,$400B_length,8
540,$4006_period,479
546,$4008_linear,96
546,$400A_period,639
546,$400B_length,9
546,$4006_period,507
555,$4002_period,427
555,$400B_length,8
561,$4002_period,319
561,$400B_length,8
576,$400A_period,677
576,$400B_length,9
576,$4006_period,427
591,$4002_period,285
591,$400B_length,8
606,$400A_period,719
606,$400B_length,9
606,$4006_period,319
621,$4002_period,253
621,$400B_length,8
636,$400A_period,761
636,$400B_length,9
636,$4006_period,319
651,$4002_period,239
651,$400B_length,8
666,$4008_linear,127
666,$400A_period,1015
666,$400B_length,9
666,$4004_duty,1
666,$4004_const,1
666,$4004_vol,15
666,$4006_period,319
681,$4000_duty,1
681,$4000_const,1
681,$4000_vol,15
681,$4002_period,213
681,$400B_length,8
711,$4002_period,159
711,$400B_length,8
726,$400A_period,959
726,$400B_length,9
726,$4006_period,319
771,$4000_duty,1
771,$4000_const,0
771,$4000_vol,15
771,$4002_period,169
771,$400B_length,8
786,$4008_linear,96
786,$400A_period,639
786,$400B_length,9
786,$4006_period,239
795,$4002_period,189
795,$400B_length,8
801,$4002_period,189
801,$400B_length,8
816,$400A_period,855
816,$400B_length,9
831,$4006_period,253
846,$400A_period,1281
846,$400B_length,10
846,$4004_duty,1
846,$4004_const,0
846,$4004_vol,0
846,$4002_period,213
846,$400B_length,8
861,$4004_duty,1
861,$4004_const,0
861,$4004_vol,15
861,$4006_period,269
861,$4000_duty,1
861,$4000_const,0
861,$4000_vol,0
876,$400A_period,639
876,$400B_length,9
876,$4006_period,269
876,$4000_duty,1
876,$4000_const,0
876,$4000_vol,15
876,$4002_period,225
876,$400B_length,8
891,$4006_period,225
891,$4002_period,225
891,$400B_length,8
906,$400A_period,639
906,$400B_length,9
906,$4004_duty,1
906,$4004_const,1
906,$4004_vol,15
906,$4006_period,253
906,$4002_period,189
906,$400B_length,8
921,$4002_period,213
921,$400B_length,8
936,$400A_period,1015
936,$400B_length,9
936,$4006_period,319
951,$4002_period,253
951,$400B_length,8
966,$400A_period,855
966,$400B_length,9
996,$400A_period,639
996,$400B_length,9
996,$4004_duty,1
996,$4004_const,0
996,$4004_vol,15
996,$4006_period,1015
1011,$4002_period,507
1011,$400B_length,8
1020,$4006_period,1015
1026,$4008_linear,127
1026,$400A_period,1015
1026,$400B_length,9
1026,$4006_period,807
1035,$4002_period,507
1035,$400B_length,8
1041,$4002_period,507
1041,$400B_length,8
1056,$4006_period,807
1071,$4002_period,507
1071,$400B_length,8
1086,$400A_period,1015
1086,$400B_length,9
1086,$4006_period,761
1101,$4002_period,451
1101,$400B_length,8
1116,$4006_period,677
1131,$4002_period,403
1131,$400B_length,8
1146,$4008_linear,96
1146,$400A_period,761
1146,$400B_length,9
1146,$4004_duty,1
1146,$4004_const,1
1146,$4004_vol,15
1146,$4006_period,639
1161,$4000_duty,1
1161,$4000_const,1
1161,$4000_vol,15
1161,$4002_period,379
1161,$400B_length,8
1176,$400A_period,1015
1176,$400B_length,9
1206,$400A_period,639
1206,$400B_length,9
1206,$4004_duty,1
1206,$4004_const,0
1206,$4004_vol,15
1221,$4006_period,639
1221,$4000_duty,1
1221,$4000_const,0
1221,$4000_vol,15
1236,$400A_period,761
1236,$400B_length,9
1236,$4006_period,569
1236,$4002_period,379
1236,$400B_length,8
1251,$4006_period,507
1251,$4002_period,339
1251,$400B_length,8
1266,$400A_period,905
1266,$400B_length,9
1266,$4004_duty,1
1266,$4004_const,1
1266,$4004_vol,15
1266,$4006_period,379
1266,$4002_period,319
1266,$400B_length,8
1281,$4000_duty,1
1281,$4000_const,1
1281,$4000_vol,15
1281,$4002_period,285
1281,$400B_length,8
1296,$400A_period,761
1296,$400B_length,9
1326,$400A_period,569
1326,$400B_length,9
1326,$4004_duty,1
1326,$4004_const,0
1326,$4004_vol,15
1341,$4006_period,451
1341,$4000_duty,1
1341,$4000_const,0
1341,$4000_vol,15
1356,$400A_period,1141
1356,$400B_length,10
1356,$4006_period,451
1356,$4002_period,379
1356,$400B_length,8
1371,$4006_period,379
1371,$4002_period,379
1371,$400B_length,8
1386,$4008_linear,127
1386,$400A_period,855
1386,$400B_length,9
1386,$4006_period,379
1386,$4002_period,319
1386,$400B_length,8
1401,$4002_period,319
1401,$400B_length,8
1416,$4006_period,427
1431,$4002_period,339
1431,$400B_length,8
1446,$4008_linear,96
1446,$400A_period,855
1446,$400B_length,9
1446,$4006_period,479
1461,$4002_period,379
1461,$400B_length,8
1476,$400A_period,677
1476,$400B_length,9
1476,$4006_period,479
1491,$4002_period,427
1491,$400B_length,8
1506,$400A_period,1015
1506,$400B_length,9
1506,$4004_duty,1
1506,$4004_const,1
1506,$4004_vol,15
1506,$4006_period,403
1521,$4000_duty,1
1521,$4000_const,1
1521,$4000_vol,15
1521,$4002_period,253
1521,$400B_length,8
1536,$400A_period,807
1536,$400B_length,9
1566,$400A_period,677
1566,$400B_length,9
1581,$4004_duty,1
1581,$4004_const,0
1581,$4004_vol,15
1581,$4006_period,403
1596,$400A_period,1015
1596,$400B_length,9
1596,$4006_period,403
1596,$4000_duty,1
1596,$4000_const,0
1596,$4000_vol,15
1596,$4002_period,239
1596,$400B_length,8
1611,$4006_period,403
1611,$4002_period,253
1611,$400B_length,8
1626,$400A_period,761
1626,$400B_length,9
1626,$4004_duty,1
1626,$4004_const,1
1626,$4004_vol,15
1626,$4006_period,379
1626,$4002_period,285
1626,$400B_length,8
1641,$4000_duty,1
1641,$4000_const,1
1641,$4000_vol,15
1641,$4002_period,319
