frame,parameter,value
0,$4002_period,855
0,$400B_length,9
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,5
0,$4001_sweep,142
0,$4006_period,677
0,$4004_duty,2
0,$4004_const,0
0,$4004_vol,4
0,$4005_sweep,127
0,$4008_linear,48
0,$400A_period,855
0,$400B_length,9
8,$4002_period,677
8,$400B_length,9
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,5
8,$4001_sweep,142
8,$4006_period,569
8,$4004_duty,2
8,$4004_const,0
8,$4004_vol,4
8,$4005_sweep,127
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4001_sweep,142
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
16,$4005_sweep,127
16,$4008_linear,48
16,$400A_period,569
16,$400B_length,9
16,$400C_const,0
16,$400C_vol,0
16,$400E_period,2
16,$400E_mode,0
24,$4002_period,569
24,$400B_length,9
24,$4000_duty,0
24,$4000_const,0
24,$4000_vol,5
24,$4001_sweep,142
24,$4006_period,425
24,$4004_duty,2
24,$4004_const,0
24,$4004_vol,7
24,$4005_sweep,127
32,$4008_linear,48
32,$400A_period,855
32,$400B_length,9
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,0
48,$4001_sweep,142
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,0
48,$4005_sweep,127
48,$4008_linear,48
48,$400A_period,569
48,$400B_length,9
48,$400C_const,0
48,$400C_vol,0
48,$400E_period,2
48,$400E_mode,0
64,$4008_linear,48
64,$400A_period,677
64,$400B_length,9
80,$4002_period,677
80,$400B_length,9
80,$4000_duty,0
80,$4000_const,0
80,$4000_vol,5
80,$4001_sweep,142
80,$4006_period,537
80,$4004_duty,2
80,$4004_const,0
80,$4004_vol,4
80,$4005_sweep,127
80,$4008_linear,48
80,$400A_period,451
80,$400B_length,8
80,$400C_const,0
80,$400C_vol,0
80,$400E_period,2
80,$400E_mode,0
88,$4000_duty,0
88,$4000_const,1
88,$4000_vol,0
88,$4001_sweep,142
88,$4004_duty,0
88,$4004_const,1
88,$4004_vol,0
88,$4005_sweep,127
96,$4002_period,537
96,$400B_length,9
96,$4000_duty,0
96,$4000_const,0
96,$4000_vol,5
96,$4001_sweep,142
96,$4006_period,451
96,$4004_duty,2
96,$4004_const,0
96,$4004_vol,4
96,$4005_sweep,127
96,$4008_linear,48
96,$400A_period,677
96,$400B_length,9
102,$4002_period,477
102,$400B_length,8
102,$4000_duty,0
102,$4000_const,0
102,$4000_vol,5
102,$4001_sweep,127
102,$4006_period,639
102,$4004_duty,2
102,$4004_const,0
102,$4004_vol,2
102,$4005_sweep,127
102,$4008_linear,36
102,$400A_period,569
102,$400B_length,9
107,$4006_period,569
107,$4004_duty,2
107,$4004_const,0
107,$4004_vol,2
107,$4005_sweep,127
112,$4006_period,639
112,$4004_duty,2
112,$4004_const,0
112,$4004_vol,2
112,$4005_sweep,127
112,$4008_linear,36
112,$400A_period,507
112,$400B_length,8
117,$4006_period,569
117,$4004_duty,2
117,$4004_const,0
117,$4004_vol,2
117,$4005_sweep,127
122,$4006_period,639
122,$4004_duty,2
122,$4004_const,0
122,$4004_vol,2
122,$4005_sweep,127
122,$4008_linear,36
122,$400A_period,477
122,$400B_length,8
127,$4006_period,569
127,$4004_duty,2
127,$4004_const,0
127,$4004_vol,2
127,$4005_sweep,127
132,$4002_period,425
132,$400B_length,8
132,$4000_duty,0
132,$4000_const,0
132,$4000_vol,5
132,$4001_sweep,127
132,$4006_period,569
132,$4004_duty,2
132,$4004_const,0
132,$4004_vol,2
132,$4005_sweep,127
132,$4008_linear,36
132,$400A_period,569
132,$400B_length,9
137,$4006_period,507
137,$4004_duty,2
137,$4004_const,0
137,$4004_vol,2
137,$4005_sweep,127
142,$4006_period,569
142,$4004_duty,2
142,$4004_const,0
142,$4004_vol,2
142,$4005_sweep,127
142,$4008_linear,36
142,$400A_period,507
142,$400B_length,8
147,$4006_period,507
147,$4004_duty,2
147,$4004_const,0
147,$4004_vol,2
147,$4005_sweep,127
152,$4006_period,569
152,$4004_duty,2
152,$4004_const,0
152,$4004_vol,2
152,$4005_sweep,127
152,$4008_linear,36
152,$400A_period,477
152,$400B_length,8
157,$4006_period,507
157,$4004_duty,2
157,$4004_const,0
157,$4004_vol,2
157,$4005_sweep,127
162,$4002_period,379
162,$400B_length,8
162,$4000_duty,0
162,$4000_const,0
162,$4000_vol,5
162,$4001_sweep,127
162,$4006_period,507
162,$4004_duty,2
162,$4004_const,0
162,$4004_vol,2
162,$4005_sweep,127
162,$4008_linear,36
162,$400A_period,569
162,$400B_length,9
167,$4006_period,477
167,$4004_duty,2
167,$4004_const,0
167,$4004_vol,2
167,$4005_sweep,127
172,$4006_period,507
172,$4004_duty,2
172,$4004_const,0
172,$4004_vol,2
172,$4005_sweep,127
172,$4008_linear,36
172,$400A_period,507
172,$400B_length,8
177,$4006_period,477
177,$4004_duty,2
177,$4004_const,0
177,$4004_vol,2
177,$4005_sweep,127
182,$4006_period,507
182,$4004_duty,2
182,$4004_const,0
182,$4004_vol,2
182,$4005_sweep,127
182,$4008_linear,36
182,$400A_period,477
182,$400B_length,8
187,$4006_period,477
187,$4004_duty,2
187,$4004_const,0
187,$4004_vol,2
187,$4005_sweep,127
192,$4002_period,319
192,$400B_length,8
192,$4000_duty,0
192,$4000_const,0
192,$4000_vol,5
192,$4001_sweep,127
192,$4006_period,425
192,$4004_duty,2
192,$4004_const,0
192,$4004_vol,4
192,$4005_sweep,127
192,$4008_linear,36
192,$400A_period,569
192,$400B_length,9
202,$4002_period,337
202,$400B_length,8
202,$4000_duty,0
202,$4000_const,0
202,$4000_vol,5
202,$4001_sweep,127
202,$4006_period,451
202,$4004_duty,2
202,$4004_const,0
202,$4004_vol,4
202,$4005_sweep,127
202,$4008_linear,36
202,$400A_period,507
202,$400B_length,8
212,$4002_period,425
212,$400B_length,8
212,$4000_duty,0
212,$4000_const,0
212,$4000_vol,5
212,$4001_sweep,127
212,$4006_period,569
212,$4004_duty,2
212,$4004_const,0
212,$4004_vol,4
212,$4005_sweep,127
212,$4008_linear,36
212,$400A_period,477
212,$400B_length,8
222,$4002_period,379
222,$400B_length,8
222,$4000_duty,0
222,$4000_const,0
222,$4000_vol,5
222,$4001_sweep,127
222,$4006_period,507
222,$4004_duty,2
222,$4004_const,0
222,$4004_vol,7
222,$4005_sweep,127
222,$4008_linear,36
222,$400A_period,569
222,$400B_length,9
232,$4008_linear,36
232,$400A_period,507
232,$400B_length,8
242,$4008_linear,36
242,$400A_period,477
242,$400B_length,8
252,$4002_period,283
252,$400B_length,8
252,$4000_duty,0
252,$4000_const,0
252,$4000_vol,5
252,$4001_sweep,127
252,$4006_period,451
252,$4004_duty,2
252,$4004_const,0
252,$4004_vol,7
252,$4005_sweep,127
252,$4008_linear,36
252,$400A_period,569
252,$400B_length,9
262,$4008_linear,36
262,$400A_period,507
262,$400B_length,8
272,$4008_linear,36
272,$400A_period,477
272,$400B_length,8
282,$4002_period,319
282,$400B_length,8
282,$4000_duty,0
282,$4000_const,0
282,$4000_vol,5
282,$4001_sweep,127
282,$4006_period,425
282,$4004_duty,2
282,$4004_const,0
282,$4004_vol,4
282,$4005_sweep,127
282,$4008_linear,36
282,$400A_period,569
282,$400B_length,9
292,$4002_period,283
292,$400B_length,8
292,$4000_duty,0
292,$4000_const,0
292,$4000_vol,5
292,$4001_sweep,127
292,$4006_period,379
292,$4004_duty,2
292,$4004_const,0
292,$4004_vol,4
292,$4005_sweep,127
292,$4008_linear,36
292,$400A_period,507
292,$400B_length,8
302,$4002_period,253
302,$400B_length,8
302,$4000_duty,0
302,$4000_const,0
302,$4000_vol,5
302,$4001_sweep,127
302,$4006_period,337
302,$4004_duty,2
302,$4004_const,0
302,$4004_vol,4
302,$4005_sweep,127
302,$4008_linear,36
302,$400A_period,477
302,$400B_length,8
312,$4002_period,319
312,$400B_length,8
312,$4000_duty,0
312,$4000_const,0
312,$4000_vol,5
312,$4001_sweep,127
312,$4006_period,425
312,$4004_duty,2
312,$4004_const,0
312,$4004_vol,7
312,$4005_sweep,127
312,$4008_linear,36
312,$400A_period,569
312,$400B_length,9
322,$4008_linear,36
322,$400A_period,507
322,$400B_length,8
332,$4008_linear,36
332,$400A_period,477
332,$400B_length,8
342,$4002_period,337
342,$400B_length,8
342,$4000_duty,0
342,$4000_const,0
342,$4000_vol,5
342,$4001_sweep,127
342,$4006_period,451
342,$4004_duty,2
342,$4004_const,0
342,$4004_vol,4
342,$4005_sweep,127
342,$4008_linear,36
342,$400A_period,569
342,$400B_length,9
352,$4002_period,319
352,$400B_length,8
352,$4000_duty,0
352,$4000_const,0
352,$4000_vol,5
352,$4001_sweep,127
352,$4006_period,425
352,$4004_duty,2
352,$4004_const,0
352,$4004_vol,4
352,$4005_sweep,127
352,$4008_linear,36
352,$400A_period,507
352,$400B_length,8
362,$4002_period,283
362,$400B_length,8
362,$4000_duty,0
362,$4000_const,0
362,$4000_vol,5
362,$4001_sweep,127
362,$4006_period,379
362,$4004_duty,2
362,$4004_const,0
362,$4004_vol,4
362,$4005_sweep,127
362,$4008_linear,36
362,$400A_period,477
362,$400B_length,8
372,$4002_period,379
372,$400B_length,8
372,$4000_duty,0
372,$4000_const,0
372,$4000_vol,5
372,$4001_sweep,127
372,$4006_period,477
372,$4004_duty,2
372,$4004_const,0
372,$4004_vol,7
372,$4005_sweep,127
372,$4008_linear,36
372,$400A_period,569
372,$400B_length,9
382,$4008_linear,36
382,$400A_period,507
382,$400B_length,8
392,$4008_linear,36
392,$400A_period,477
392,$400B_length,8
402,$4002_period,337
402,$400B_length,8
402,$4000_duty,0
402,$4000_const,0
402,$4000_vol,5
402,$4001_sweep,127
402,$4006_period,569
402,$4004_duty,2
402,$4004_const,0
402,$4004_vol,7
402,$4005_sweep,127
402,$4008_linear,48
402,$400A_period,569
402,$400B_length,9
432,$4002_period,1077
432,$400B_length,10
432,$4000_duty,0
432,$4000_const,0
432,$4000_vol,5
432,$4001_sweep,127
432,$4006_period,639
432,$4004_duty,2
432,$4004_const,0
432,$4004_vol,4
432,$4005_sweep,127
432,$4008_linear,36
432,$400A_period,477
432,$400B_length,8
437,$4002_period,855
437,$400B_length,9
437,$4000_duty,0
437,$4000_const,0
437,$4000_vol,5
437,$4001_sweep,127
442,$4002_period,1077
442,$400B_length,10
442,$4000_duty,0
442,$4000_const,0
442,$4000_vol,5
442,$4001_sweep,127
442,$4006_period,639
442,$4004_duty,2
442,$4004_const,0
442,$4004_vol,4
442,$4005_sweep,127
442,$4008_linear,36
442,$400A_period,477
442,$400B_length,8
447,$4002_period,855
447,$400B_length,9
447,$4000_duty,0
447,$4000_const,0
447,$4000_vol,5
447,$4001_sweep,127
452,$4002_period,1077
452,$400B_length,10
452,$4000_duty,0
452,$4000_const,0
452,$4000_vol,5
452,$4001_sweep,127
452,$4006_period,639
452,$4004_duty,2
452,$4004_const,0
452,$4004_vol,4
452,$4005_sweep,127
452,$4008_linear,36
452,$400A_period,477
452,$400B_length,8
457,$4002_period,855
457,$400B_length,9
457,$4000_duty,0
457,$4000_const,0
457,$4000_vol,5
457,$4001_sweep,127
462,$4002_period,855
462,$400B_length,9
462,$4000_duty,0
462,$4000_const,0
462,$4000_vol,5
462,$4001_sweep,127
462,$4006_period,569
462,$4004_duty,2
462,$4004_const,0
462,$4004_vol,7
462,$4005_sweep,127
462,$4008_linear,36
462,$400A_period,569
462,$400B_length,9
472,$4008_linear,36
472,$400A_period,569
472,$400B_length,9
482,$4008_linear,36
482,$400A_period,569
482,$400B_length,9
492,$4002_period,855
492,$400B_length,9
492,$4000_duty,0
492,$4000_const,0
492,$4000_vol,5
492,$4001_sweep,127
492,$4006_period,569
492,$4004_duty,2
492,$4004_const,0
492,$4004_vol,7
492,$4005_sweep,127
492,$4008_linear,36
492,$400A_period,569
492,$400B_length,9
502,$4008_linear,36
502,$400A_period,569
502,$400B_length,9
512,$4008_linear,36
512,$400A_period,569
512,$400B_length,9
522,$4002_period,761
522,$400B_length,9
522,$4000_duty,0
522,$4000_const,0
522,$4000_vol,5
522,$4001_sweep,127
522,$4006_period,507
522,$4004_duty,2
522,$4004_const,0
522,$4004_vol,7
522,$4005_sweep,127
522,$4008_linear,36
522,$400A_period,507
522,$400B_length,8
532,$4008_linear,36
532,$400A_period,507
532,$400B_length,8
542,$4008_linear,36
542,$400A_period,507
542,$400B_length,8
552,$4002_period,569
552,$400B_length,9
552,$4000_duty,0
552,$4000_const,0
552,$4000_vol,5
552,$4001_sweep,127
552,$4000_duty,2
552,$4000_const,1
552,$4000_vol,0
