frame,parameter,value
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,12
6,$4001_sweep,8
6,$4002_period,1707
6,$400B_length,3
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,0
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,12
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,0
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,11
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,0
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,11
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,0
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,10
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,9
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,0
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,9
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,8
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,8
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,0
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,8
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,8
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,0
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,12
18,$4001_sweep,8
18,$4002_period,1523
18,$400B_length,2
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,12
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,11
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,0
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,11
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,6
21,$4005_sweep,8
21,$4006_period,1705
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,10
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,6
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,10
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,5
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,9
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,5
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,9
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,5
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,8
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,5
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,8
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,8
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,4
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,12
29,$4001_sweep,8
29,$4002_period,1357
29,$400B_length,2
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,4
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,12
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,4
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,11
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,4
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,11
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,6
32,$4005_sweep,8
32,$4006_period,1521
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,10
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,6
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,10
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,5
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,9
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,5
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,9
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,5
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,8
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,5
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,8
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,4
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,12
39,$4001_sweep,8
39,$4002_period,1141
39,$400B_length,2
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,4
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,12
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,4
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,11
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,4
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,11
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,4
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,10
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,6
43,$4005_sweep,8
43,$4006_period,1355
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,10
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,6
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,9
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,5
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,9
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,5
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,8
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,5
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,8
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,5
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,8
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,4
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,12
50,$4001_sweep,8
50,$4002_period,853
50,$400B_length,1
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,4
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,12
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,4
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,11
52,$4004_duty,2
