frame,parameter,value
1090,$4010_rate,15
1090,$4012_addr,35
1090,$4013_len,28
1090,$4004_duty,2
1090,$4004_const,1
1090,$4004_vol,6
1090,$4005_sweep,8
1090,$4006_period,571
1090,$4008_linear,31
1090,$400A_period,381
1090,$400B_length,0
1091,$4004_duty,2
1091,$4004_const,1
1091,$4004_vol,10
1092,$4004_duty,2
1092,$4004_const,1
1092,$4004_vol,12
1098,$4004_duty,2
1098,$4004_const,1
1098,$4004_vol,6
1100,$4000_duty,2
1100,$4000_const,1
1100,$4000_vol,4
1100,$4001_sweep,8
1100,$4002_period,573
1100,$400B_length,1
1100,$4004_duty,2
1100,$4004_const,1
1100,$4004_vol,5
1101,$4000_duty,2
1101,$4000_const,1
1101,$4000_vol,8
1101,$4004_duty,2
1101,$4004_const,1
1101,$4004_vol,1
1102,$4000_duty,2
1102,$4000_const,1
1102,$4000_vol,10
1102,$4004_duty,2
1102,$4004_const,1
1102,$4004_vol,3
1108,$4000_duty,2
1108,$4000_const,1
1108,$4000_vol,4
1110,$4000_duty,2
1110,$4000_const,1
1110,$4000_vol,3
1110,$4004_duty,2
1110,$4004_const,1
1110,$4004_vol,6
1110,$4005_sweep,8
1110,$4006_period,453
1111,$4004_duty,2
1111,$4004_const,1
1111,$4004_vol,10
1112,$4000_duty,2
1112,$4000_const,1
1112,$4000_vol,1
1112,$4001_sweep,8
1112,$4002_period,573
1112,$400B_length,1
1112,$4004_duty,2
1112,$4004_const,1
1112,$4004_vol,12
1118,$4004_duty,2
1118,$4004_const,1
1118,$4004_vol,6
1120,$4000_duty,2
1120,$4000_const,1
1120,$4000_vol,4
1120,$4001_sweep,8
1120,$4002_period,455
1120,$400B_length,0
1120,$4004_duty,2
1120,$4004_const,1
1120,$4004_vol,5
1121,$4000_duty,2
1121,$4000_const,1
1121,$4000_vol,8
1121,$4004_duty,2
1121,$4004_const,1
1121,$4004_vol,1
1122,$4000_duty,2
1122,$4000_const,1
1122,$4000_vol,10
1122,$4004_duty,2
1122,$4004_const,1
1122,$4004_vol,3
1128,$4000_duty,2
1128,$4000_const,1
1128,$4000_vol,4
1130,$4000_duty,2
1130,$4000_const,1
1130,$4000_vol,3
1130,$4004_duty,2
1130,$4004_const,1
1130,$4004_vol,7
1130,$4005_sweep,8
1130,$4006_period,381
1131,$4004_duty,2
1131,$4004_const,1
1131,$4004_vol,11
1132,$4000_duty,2
1132,$4000_const,1
1132,$4000_vol,1
1132,$4001_sweep,8
1132,$4002_period,455
1132,$400B_length,0
1132,$4004_duty,2
1132,$4004_const,1
1132,$4004_vol,13
1138,$4004_duty,2
1138,$4004_const,1
1138,$4004_vol,7
1140,$4000_duty,2
1140,$4000_const,1
1140,$4000_vol,5
1140,$4001_sweep,8
1140,$4002_period,383
1140,$400B_length,0
1140,$4004_duty,2
1140,$4004_const,1
1140,$4004_vol,6
1141,$4000_duty,2
1141,$4000_const,1
1141,$4000_vol,9
1141,$4004_duty,2
1141,$4004_const,1
1141,$4004_vol,2
1142,$4000_duty,2
1142,$4000_const,1
1142,$4000_vol,11
1142,$4004_duty,2
1142,$4004_const,1
1142,$4004_vol,4
1145,$4004_duty,2
1145,$4004_const,1
1145,$4004_vol,1
1148,$4000_duty,2
1148,$4000_const,1
1148,$4000_vol,5
1150,$4010_rate,15
1150,$4012_addr,35
1150,$4013_len,28
1150,$4000_duty,2
1150,$4000_const,1
1150,$4000_vol,4
1150,$4004_duty,2
1150,$4004_const,1
1150,$4004_vol,7
1150,$4005_sweep,8
1150,$4006_period,453
1151,$4004_duty,2
1151,$4004_const,1
1151,$4004_vol,11
1152,$4000_duty,2
1152,$4000_const,1
1152,$4000_vol,2
1152,$4001_sweep,8
1152,$4002_period,383
1152,$400B_length,0
1152,$4004_duty,2
1152,$4004_const,1
1152,$4004_vol,13
1158,$4004_duty,2
1158,$4004_const,1
1158,$4004_vol,7
1160,$4000_duty,2
1160,$4000_const,1
1160,$4000_vol,5
1160,$4001_sweep,8
1160,$4002_period,455
1160,$400B_length,0
1160,$4004_duty,2
1160,$4004_const,1
1160,$4004_vol,6
1161,$4000_duty,2
1161,$4000_const,1
1161,$4000_vol,9
1161,$4004_duty,2
1161,$4004_const,1
1161,$4004_vol,2
1162,$4000_duty,2
1162,$4000_const,1
1162,$4000_vol,11
1162,$4004_duty,2
1162,$4004_const,1
1162,$4004_vol,4
1165,$4004_duty,2
1165,$4004_const,1
1165,$4004_vol,1
1168,$4000_duty,2
1168,$4000_const,1
1168,$4000_vol,5
1170,$4010_rate,15
1170,$4012_addr,84
1170,$4013_len,28
1170,$4000_duty,2
1170,$4000_const,1
1170,$4000_vol,4
1170,$4004_duty,2
1170,$4004_const,1
1170,$4004_vol,5
1170,$4005_sweep,8
1170,$4006_period,427
1170,$4008_linear,31
1170,$400A_period,509
1170,$400B_length,0
1171,$4004_duty,2
1171,$4004_const,1
1171,$4004_vol,9
1172,$4000_duty,2
1172,$4000_const,1
1172,$4000_vol,2
1172,$4001_sweep,8
1172,$4002_period,455
1172,$400B_length,0
1172,$4004_duty,2
1172,$4004_const,1
1172,$4004_vol,11
1178,$4004_duty,2
1178,$4004_const,1
1178,$4004_vol,5
1180,$4000_duty,2
1180,$4000_const,1
1180,$4000_vol,3
1180,$4001_sweep,8
1180,$4002_period,429
1180,$400B_length,0
1180,$4004_duty,2
1180,$4004_const,1
1180,$4004_vol,4
1181,$4000_duty,2
1181,$4000_const,1
1181,$4000_vol,7
1182,$4000_duty,2
1182,$4000_const,1
1182,$4000_vol,9
1182,$4004_duty,2
1182,$4004_const,1
1182,$4004_vol,2
1182,$4005_sweep,8
1182,$4006_period,427
1188,$4000_duty,2
1188,$4000_const,1
1188,$4000_vol,3
1190,$4000_duty,2
1190,$4000_const,1
1190,$4000_vol,2
1190,$4004_duty,2
1190,$4004_const,1
1190,$4004_vol,5
1190,$4005_sweep,8
1190,$4006_period,509
1191,$4004_duty,2
1191,$4004_const,1
1191,$4004_vol,9
1192,$4004_duty,2
1192,$4004_const,1
1192,$4004_vol,11
1198,$4004_duty,2
1198,$4004_const,1
1198,$4004_vol,5
1200,$4000_duty,2
1200,$4000_const,1
1200,$4000_vol,3
1200,$4001_sweep,8
1200,$4002_period,511
1200,$400B_length,0
1200,$4004_duty,2
1200,$4004_const,1
1200,$4004_vol,4
1201,$4000_duty,2
1201,$4000_const,1
1201,$4000_vol,7
1202,$4000_duty,2
1202,$4000_const,1
1202,$4000_vol,9
1202,$4004_duty,2
1202,$4004_const,1
1202,$4004_vol,2
1202,$4005_sweep,8
1202,$4006_period,509
1208,$4000_duty,2
1208,$4000_const,1
1208,$4000_vol,3
1210,$4000_duty,2
1210,$4000_const,1
1210,$4000_vol,2
1210,$4004_duty,2
1210,$4004_const,1
1210,$4004_vol,6
1210,$4005_sweep,8
1210,$4006_period,605
1211,$4004_duty,2
1211,$4004_const,1
1211,$4004_vol,10
1212,$4004_duty,2
1212,$4004_const,1
1212,$4004_vol,12
1218,$4004_duty,2
1218,$4004_const,1
1218,$4004_vol,6
1220,$4000_duty,2
1220,$4000_const,1
1220,$4000_vol,4
1220,$4001_sweep,8
1220,$4002_period,607
1220,$400B_length,1
1220,$4004_duty,2
1220,$4004_const,1
1220,$4004_vol,5
1221,$4000_duty,2
1221,$4000_const,1
1221,$4000_vol,8
1221,$4004_duty,2
1221,$4004_const,1
1221,$4004_vol,1
1222,$4000_duty,2
1222,$4000_const,1
1222,$4000_vol,10
1222,$4004_duty,2
1222,$4004_const,1
1222,$4004_vol,3
1228,$4000_duty,2
1228,$4000_const,1
1228,$4000_vol,4
1230,$4010_rate,15
1230,$4012_addr,84
1230,$4013_len,28
1230,$4000_duty,2
1230,$4000_const,1
1230,$4000_vol,3
1230,$4004_duty,2
1230,$4004_const,1
1230,$4004_vol,6
1230,$4005_sweep,8
1230,$4006_period,509
1231,$4004_duty,2
1231,$4004_const,1
1231,$4004_vol,10
1232,$4000_duty,2
1232,$4000_const,1
1232,$4000_vol,1
1232,$4001_sweep,8
1232,$4002_period,607
1232,$400B_length,1
1232,$4004_duty,2
1232,$4004_const,1
1232,$4004_vol,12
1238,$4004_duty,2
1238,$4004_const,1
1238,$4004_vol,6
1240,$4000_duty,2
1240,$4000_const,1
1240,$4000_vol,4
1240,$4001_sweep,8
1240,$4002_period,511
1240,$400B_length,0
1240,$4004_duty,2
1240,$4004_const,1
1240,$4004_vol,5
1241,$4000_duty,2
1241,$4000_const,1
1241,$4000_vol,8
1241,$4004_duty,2
1241,$4004_const,1
1241,$4004_vol,1
1242,$4000_duty,2
1242,$4000_const,1
1242,$4000_vol,10
1242,$4004_duty,2
1242,$4004_const,1
