frame,parameter,value
274,$4000_duty,0
274,$4000_const,1
274,$4000_vol,0
274,$4004_duty,0
274,$4004_const,1
274,$4004_vol,0
274,$4008_linear,0
274,$400C_const,1
274,$400C_vol,0
274,$4001_sweep,8
274,$4005_sweep,8
274,$400C_const,1
274,$400C_vol,0
275,$4000_duty,0
275,$4000_const,1
275,$4000_vol,8
275,$4002_period,605
275,$400B_length,9
275,$4004_duty,0
275,$4004_const,1
275,$4004_vol,6
275,$4006_period,509
275,$4008_linear,127
275,$400A_period,807
275,$400B_length,9
276,$4000_duty,0
276,$4000_const,1
276,$4000_vol,5
276,$4004_duty,0
276,$4004_const,1
276,$4004_vol,6
276,$4008_linear,127
277,$4000_duty,0
277,$4000_const,1
277,$4000_vol,5
277,$4004_duty,0
277,$4004_const,1
277,$4004_vol,6
277,$4008_linear,127
278,$4000_duty,0
278,$4000_const,1
278,$4000_vol,5
278,$4004_duty,0
278,$4004_const,1
278,$4004_vol,6
278,$4008_linear,127
279,$4000_duty,0
279,$4000_const,1
279,$4000_vol,5
279,$4004_duty,0
279,$4004_const,1
279,$4004_vol,6
279,$4008_linear,127
280,$4000_duty,0
280,$4000_const,1
280,$4000_vol,5
280,$4004_duty,0
280,$4004_const,1
280,$4004_vol,6
280,$4008_linear,127
281,$4000_duty,0
281,$4000_const,1
281,$4000_vol,5
281,$4004_duty,0
281,$4004_const,1
281,$4004_vol,6
281,$4008_linear,127
282,$4000_duty,0
282,$4000_const,1
282,$4000_vol,5
282,$4004_duty,0
282,$4004_const,1
282,$4004_vol,6
282,$4008_linear,127
283,$4000_duty,0
283,$4000_const,1
283,$4000_vol,5
283,$4004_duty,0
283,$4004_const,1
283,$4004_vol,6
283,$4008_linear,127
284,$4000_duty,0
284,$4000_const,1
284,$4000_vol,5
284,$4004_duty,0
284,$4004_const,1
284,$4004_vol,6
284,$4008_linear,127
285,$4000_duty,0
285,$4000_const,1
285,$4000_vol,5
285,$4004_duty,0
285,$4004_const,1
285,$4004_vol,6
285,$4008_linear,127
286,$4000_duty,0
286,$4000_const,1
286,$4000_vol,5
286,$4004_duty,0
286,$4004_const,1
286,$4004_vol,6
286,$4008_linear,127
287,$4000_duty,0
287,$4000_const,1
287,$4000_vol,5
287,$4004_duty,0
287,$4004_const,1
287,$4004_vol,6
287,$4008_linear,127
288,$4000_duty,0
288,$4000_const,1
288,$4000_vol,5
288,$4004_duty,0
288,$4004_const,1
288,$4004_vol,6
288,$4008_linear,127
289,$4000_duty,0
289,$4000_const,1
289,$4000_vol,5
289,$4004_duty,0
289,$4004_const,1
289,$4004_vol,6
289,$4008_linear,127
290,$4000_duty,0
290,$4000_const,1
290,$4000_vol,5
290,$4004_duty,0
290,$4004_const,1
290,$4004_vol,6
290,$4008_linear,127
291,$4000_duty,0
291,$4000_const,1
291,$4000_vol,5
291,$4004_duty,0
291,$4004_const,1
291,$4004_vol,6
291,$4008_linear,127
292,$4000_duty,0
292,$4000_const,1
292,$4000_vol,5
292,$4004_duty,0
292,$4004_const,1
292,$4004_vol,6
292,$4008_linear,127
293,$4000_duty,0
293,$4000_const,1
293,$4000_vol,5
293,$4004_duty,0
293,$4004_const,1
293,$4004_vol,6
293,$4008_linear,127
294,$4000_duty,0
294,$4000_const,1
294,$4000_vol,5
294,$4004_duty,0
294,$4004_const,1
294,$4004_vol,6
294,$4008_linear,127
295,$4000_duty,0
295,$4000_const,1
295,$4000_vol,5
295,$4004_duty,0
295,$4004_const,1
