frame,parameter,value
358,$4000_duty,1
358,$4000_const,0
358,$4000_vol,15
358,$4001_sweep,0
358,$4002_period,349
358,$400B_length,128
358,$4004_duty,1
358,$4004_const,0
358,$4004_vol,15
358,$4005_sweep,0
358,$4006_period,441
358,$4008_linear,79
358,$400A_period,277
358,$400B_length,128
363,$4000_duty,1
363,$4000_const,0
363,$4000_vol,15
363,$4001_sweep,0
363,$4002_period,293
363,$400B_length,128
363,$4004_duty,1
363,$4004_const,0
363,$4004_vol,15
363,$4005_sweep,0
363,$4006_period,369
363,$4008_linear,79
363,$400A_period,233
363,$400B_length,128
368,$4000_duty,1
368,$4000_const,0
368,$4000_vol,15
368,$4001_sweep,0
368,$4002_period,309
368,$400B_length,128
368,$4004_duty,1
368,$4004_const,0
368,$4004_vol,15
368,$4005_sweep,0
368,$4006_period,393
368,$4008_linear,79
368,$400A_period,247
368,$400B_length,128
373,$4000_duty,1
373,$4000_const,0
373,$4000_vol,15
373,$4001_sweep,0
373,$4002_period,329
373,$400B_length,128
373,$4004_duty,1
373,$4004_const,0
373,$4004_vol,15
373,$4005_sweep,0
373,$4006_period,417
373,$4008_linear,79
373,$400A_period,261
373,$400B_length,128
378,$4000_duty,1
378,$4000_const,0
378,$4000_vol,15
378,$4001_sweep,0
378,$4002_period,349
378,$400B_length,128
378,$4004_duty,1
378,$4004_const,0
378,$4004_vol,15
378,$4005_sweep,0
378,$4006_period,441
378,$4008_linear,79
378,$400A_period,277
378,$400B_length,128
383,$4000_duty,1
383,$4000_const,0
383,$4000_vol,15
383,$4001_sweep,0
383,$4002_period,293
383,$400B_length,128
383,$4004_duty,1
383,$4004_const,0
383,$4004_vol,15
383,$4005_sweep,0
383,$4006_period,369
383,$4008_linear,79
383,$400A_period,233
383,$400B_length,128
388,$4000_duty,1
388,$4000_const,0
388,$4000_vol,15
388,$4001_sweep,0
388,$4002_period,309
388,$400B_length,128
388,$4004_duty,1
388,$4004_const,0
388,$4004_vol,15
388,$4005_sweep,0
388,$4006_period,393
388,$4008_linear,79
388,$400A_period,247
388,$400B_length,128
393,$4000_duty,1
393,$4000_const,0
393,$4000_vol,15
393,$4001_sweep,0
393,$4002_period,329
393,$400B_length,128
393,$4004_duty,1
393,$4004_const,0
393,$4004_vol,15
393,$4005_sweep,0
393,$4006_period,417
