frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4002_period,1
0,$400B_length,0
0,$4001_sweep,0
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
0,$4006_period,2715
0,$4005_sweep,0
0,$4008_linear,127
0,$400A_period,1357
0,$400B_length,10
0,$400C_const,0
0,$400C_vol,6
0,$400E_period,2
0,$400E_mode,0
0,$400C_const,1
0,$400C_vol,9
0,$400E_period,0
0,$400E_mode,0
0,$400C_const,0
0,$400C_vol,6
0,$400E_period,0
0,$400E_mode,0
0,$400C_const,1
0,$400C_vol,9
0,$400E_period,0
0,$400E_mode,0
1,$400C_const,1
1,$400C_vol,9
1,$400E_period,0
1,$400E_mode,0
1,$400C_const,0
1,$400C_vol,6
1,$400E_period,0
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,9
1,$400E_period,0
1,$400E_mode,0
2,$400C_const,1
2,$400C_vol,9
2,$400E_period,0
2,$400E_mode,0
2,$400C_const,0
2,$400C_vol,6
2,$400E_period,0
2,$400E_mode,0
2,$400C_const,1
2,$400C_vol,9
2,$400E_period,0
2,$400E_mode,0
3,$400C_const,1
3,$400C_vol,9
3,$400E_period,0
3,$400E_mode,0
3,$400C_const,0
3,$400C_vol,6
3,$400E_period,0
3,$400E_mode,0
3,$400C_const,1
3,$400C_vol,9
3,$400E_period,0
3,$400E_mode,0
4,$400C_const,1
4,$400C_vol,9
4,$400E_period,0
4,$400E_mode,0
4,$400C_const,0
4,$400C_vol,6
4,$400E_period,0
4,$400E_mode,0
4,$400C_const,1
4,$400C_vol,9
4,$400E_period,0
4,$400E_mode,0
5,$400C_const,1
5,$400C_vol,9
5,$400E_period,0
5,$400E_mode,0
5,$400C_const,0
5,$400C_vol,6
5,$400E_period,0
5,$400E_mode,0
5,$400C_const,1
5,$400C_vol,9
5,$400E_period,0
5,$400E_mode,0
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,0
6,$4006_period,2283
6,$4005_sweep,0
6,$400C_const,1
6,$400C_vol,9
6,$400E_period,0
6,$400E_mode,0
6,$400C_const,0
6,$400C_vol,6
6,$400E_period,0
6,$400E_mode,0
6,$400C_const,1
6,$400C_vol,9
6,$400E_period,0
6,$400E_mode,0
7,$400C_const,1
7,$400C_vol,9
7,$400E_period,0
7,$400E_mode,0
7,$400C_const,0
7,$400C_vol,6
7,$400E_period,0
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,9
7,$400E_period,0
7,$400E_mode,0
8,$400C_const,1
8,$400C_vol,9
8,$400E_period,0
8,$400E_mode,0
8,$400C_const,0
8,$400C_vol,6
8,$400E_period,0
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,9
8,$400E_period,0
8,$400E_mode,0
9,$400C_const,1
9,$400C_vol,9
9,$400E_period,0
9,$400E_mode,0
9,$400C_const,0
9,$400C_vol,6
9,$400E_period,0
9,$400E_mode,0
9,$400C_const,1
9,$400C_vol,9
9,$400E_period,0
9,$400E_mode,0
10,$400C_const,1
10,$400C_vol,9
10,$400E_period,0
10,$400E_mode,0
10,$400C_const,0
10,$400C_vol,6
10,$400E_period,0
10,$400E_mode,0
10,$400C_const,1
10,$400C_vol,9
10,$400E_period,0
10,$400E_mode,0
11,$400C_const,1
11,$400C_vol,9
11,$400E_period,0
11,$400E_mode,0
11,$400C_const,0
11,$400C_vol,6
11,$400E_period,0
11,$400E_mode,0
11,$400C_const,1
11,$400C_vol,9
11,$400E_period,0
11,$400E_mode,0
12,$4004_duty,0
12,$4004_const,0
12,$4004_vol,0
12,$4006_period,2715
12,$4005_sweep,0
12,$400C_const,0
12,$400C_vol,6
12,$400E_period,2
12,$400E_mode,0
12,$400C_const,1
12,$400C_vol,9
12,$400E_period,0
12,$400E_mode,0
12,$400C_const,0
12,$400C_vol,6
12,$400E_period,0
12,$400E_mode,0
12,$400C_const,1
12,$400C_vol,9
12,$400E_period,0
12,$400E_mode,0
13,$400C_const,1
13,$400C_vol,9
13,$400E_period,0
13,$400E_mode,0
13,$400C_const,0
13,$400C_vol,6
13,$400E_period,0
13,$400E_mode,0
13,$400C_const,1
13,$400C_vol,9
13,$400E_period,0
13,$400E_mode,0
14,$400C_const,1
14,$400C_vol,9
14,$400E_period,0
14,$400E_mode,0
14,$400C_const,0
14,$400C_vol,6
14,$400E_period,0
14,$400E_mode,0
14,$400C_const,1
14,$400C_vol,9
14,$400E_period,0
14,$400E_mode,0
15,$400C_const,1
15,$400C_vol,9
15,$400E_period,0
15,$400E_mode,0
15,$400C_const,0
