frame,parameter,value
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$400C_const,1
2,$400C_vol,0
2,$4008_linear,0
2,$4011_dac,0
2,$4002_period,83
2,$400B_length,8
2,$4001_sweep,127
2,$4006_period,1
2,$4005_sweep,127
2,$4008_linear,28
2,$400A_period,1077
2,$400B_length,10
2,$400C_const,0
2,$400C_vol,6
2,$400E_period,2
2,$400E_mode,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
8,$4002_period,83
8,$400B_length,8
8,$4001_sweep,127
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
10,$4008_linear,28
10,$400A_period,1077
10,$400B_length,10
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
14,$4002_period,83
14,$400B_length,8
14,$4001_sweep,127
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
18,$4008_linear,28
18,$400A_period,1077
18,$400B_length,10
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
20,$4002_period,83
20,$400B_length,8
20,$4001_sweep,127
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,0
26,$4002_period,83
26,$400B_length,8
26,$4001_sweep,127
26,$4008_linear,60
26,$400A_period,1077
26,$400B_length,10
26,$400C_const,0
26,$400C_vol,6
26,$400E_period,2
26,$400E_mode,0
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,0
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,0
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,0
31,$400C_const,1
31,$400C_vol,0
31,$4008_linear,0
31,$4011_dac,0
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,3
32,$4001_sweep,141
32,$4002_period,591
32,$400B_length,249
33,$4001_sweep,139
34,$4001_sweep,132
35,$4001_sweep,132
36,$4001_sweep,139
37,$4001_sweep,139
38,$4001_sweep,132
39,$4001_sweep,132
40,$4001_sweep,139
41,$4001_sweep,139
42,$4001_sweep,132
43,$4001_sweep,132
44,$4001_sweep,139
45,$4001_sweep,139
46,$4001_sweep,132
47,$4001_sweep,132
48,$4001_sweep,139
49,$4001_sweep,139
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,3
62,$4001_sweep,141
62,$4002_period,591
62,$400B_length,249
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,0
63,$4004_duty,0
63,$4004_const,1
63,$4004_vol,0
64,$4004_duty,0
64,$4004_const,1
64,$4004_vol,0
65,$4004_duty,0
65,$4004_const,1
