frame,parameter,value
72,$4000_duty,0
72,$4000_const,1
72,$4000_vol,0
72,$4004_duty,0
72,$4004_const,1
72,$4004_vol,0
72,$400C_const,1
72,$400C_vol,0
72,$4008_linear,0
72,$4011_dac,0
72,$4002_period,105
72,$400B_length,8
72,$4001_sweep,127
72,$4006_period,1
72,$4005_sweep,127
72,$4008_linear,0
72,$400A_period,1
72,$400B_length,0
72,$400C_const,0
72,$400C_vol,6
72,$400E_period,2
72,$400E_mode,0
72,$4000_duty,3
72,$4000_const,1
72,$4000_vol,4
72,$4004_duty,0
72,$4004_const,1
72,$4004_vol,0
72,$4000_duty,3
72,$4000_const,1
72,$4000_vol,5
72,$4004_duty,0
72,$4004_const,1
72,$4004_vol,0
73,$4006_period,1
73,$4005_sweep,127
73,$4000_duty,3
73,$4000_const,1
73,$4000_vol,6
73,$4004_duty,0
73,$4004_const,1
73,$4004_vol,0
74,$4000_duty,3
74,$4000_const,1
74,$4000_vol,7
74,$4004_duty,0
74,$4004_const,1
74,$4004_vol,0
75,$4000_duty,3
75,$4000_const,1
75,$4000_vol,8
75,$4004_duty,0
75,$4004_const,1
75,$4004_vol,0
258,$4000_duty,3
258,$4000_const,1
258,$4000_vol,7
258,$4004_duty,0
258,$4004_const,1
258,$4004_vol,0
259,$4000_duty,3
259,$4000_const,1
259,$4000_vol,6
259,$4004_duty,0
259,$4004_const,1
259,$4004_vol,0
259,$4000_duty,3
259,$4000_const,1
259,$4000_vol,5
259,$4004_duty,0
259,$4004_const,1
259,$4004_vol,0
260,$4002_period,141
260,$400B_length,8
260,$4001_sweep,127
260,$4000_duty,3
260,$4000_const,1
260,$4000_vol,4
260,$4004_duty,0
260,$4004_const,1
260,$4004_vol,0
261,$4000_duty,3
261,$4000_const,1
261,$4000_vol,5
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,0
262,$4000_duty,3
262,$4000_const,1
262,$4000_vol,6
262,$4004_duty,0
262,$4004_const,1
262,$4004_vol,0
263,$4000_duty,3
263,$4000_const,1
263,$4000_vol,7
263,$4004_duty,0
