frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$400C_const,1
0,$400C_vol,0
0,$4008_linear,0
0,$4011_dac,0
0,$4002_period,199
0,$400B_length,8
0,$4001_sweep,127
0,$4006_period,125
0,$4005_sweep,127
0,$4008_linear,60
0,$400A_period,1017
0,$400B_length,9
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,0
0,$400E_mode,0
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,1
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,4
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,2
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,5
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,2
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,6
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,3
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,7
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,3
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,8
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,4
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,7
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,4
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,6
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,5
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,5
8,$4002_period,225
8,$400B_length,8
8,$4001_sweep,127
8,$4006_period,167
8,$4005_sweep,127
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,1
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,4
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,2
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,5
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,6
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,3
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,7
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,3
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,8
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,4
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,7
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,4
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,6
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,5
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,5
16,$4002_period,225
16,$400B_length,8
16,$4001_sweep,127
16,$4006_period,167
16,$4005_sweep,127
16,$400C_const,0
16,$400C_vol,6
16,$400E_period,2
16,$400E_mode,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
24,$4002_period,337
24,$400B_length,8
24,$4001_sweep,127
24,$4006_period,199
24,$4005_sweep,127
24,$400C_const,0
24,$400C_vol,6
24,$400E_period,2
24,$400E_mode,0
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,1
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,2
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,5
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,2
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,6
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,3
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,7
28,$4000_duty,2
