frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,3
0,$4001_sweep,141
0,$4002_period,591
0,$400B_length,249
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,8
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,7
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,6
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,5
4,$4006_period,719
4,$4005_sweep,127
4,$400C_const,0
4,$400C_vol,6
4,$400E_period,2
4,$400E_mode,0
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,4
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,5
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,6
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4001_sweep,127
7,$4002_period,855
7,$400B_length,9
7,$4005_sweep,127
7,$4006_period,719
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,3
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,7
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,3
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,8
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,4
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,7
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,4
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,6
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,5
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,5
12,$4002_period,761
12,$400B_length,9
12,$4001_sweep,127
12,$4006_period,569
12,$4005_sweep,127
12,$4008_linear,28
12,$400A_period,1077
12,$400B_length,10
12,$400C_const,0
12,$400C_vol,6
12,$400E_period,2
12,$400E_mode,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,1
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,4
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,2
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,5
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,2
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,6
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,3
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,7
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,3
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,8
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,4
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,7
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,4
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,6
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,5
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,5
20,$4008_linear,28
20,$400A_period,1077
20,$400B_length,10
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,5
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,4
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,4
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,4
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,4
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,4
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,4
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,4
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,4
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,4
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,4
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,4
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,4
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,4
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
28,$4008_linear,28
28,$400A_period,1077
28,$400B_length,10
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,4
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,4
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,4
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,4
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,4
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,4
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,4
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,4
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,4
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,4
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,4
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,4
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,4
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,4
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,4
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,4
36,$4002_period,905
36,$400B_length,9
36,$4001_sweep,127
36,$4008_linear,60
36,$400A_period,1077
36,$400B_length,10
36,$400C_const,0
36,$400C_vol,6
36,$400E_period,2
36,$400E_mode,0
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,1
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,4
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,2
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,4
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,2
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,4
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,3
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,4
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,3
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,4
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,4
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,4
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,4
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,4
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,5
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,4
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,5
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,4
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,4
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,4
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,4
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,4
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,4
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,4
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,4
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,4
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,4
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,4
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,4
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,4
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,4
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,4
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,4
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,4
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,4
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,4
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,4
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,4
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,4
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,4
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,4
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,4
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,4
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,4
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,4
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,4
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,4
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,4
60,$4002_period,761
60,$400B_length,9
60,$4001_sweep,127
60,$4006_period,639
60,$4005_sweep,127
60,$4008_linear,28
60,$400A_period,1077
60,$400B_length,10
60,$400C_const,0
60,$400C_vol,6
60,$400E_period,2
60,$400E_mode,0
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,1
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,4
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,2
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,5
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,2
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,6
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,3
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,7
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,3
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,8
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,4
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,7
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,4
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,6
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,5
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,5
68,$4008_linear,28
68,$400A_period,1077
68,$400B_length,10
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,5
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,4
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,4
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,4
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,4
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,4
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,4
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,4
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,4
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,4
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,4
73,$4004_duty,2
73,$4004_const,1
73,$4004_vol,4
74,$4000_duty,2
74,$4000_const,1
74,$4000_vol,4
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,4
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,4
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,4
76,$4008_linear,28
76,$400A_period,1077
76,$400B_length,10
76,$4000_duty,2
76,$4000_const,1
76,$4000_vol,4
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,4
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,4
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,4
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,4
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,4
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,4
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,4
80,$4000_duty,2
80,$4000_const,1
80,$4000_vol,4
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,4
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,4
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,4
82,$4000_duty,2
82,$4000_const,1
82,$4000_vol,4
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,4
83,$4000_duty,2
83,$4000_const,1
83,$4000_vol,4
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,4
84,$4002_period,905
84,$400B_length,9
84,$4001_sweep,127
84,$4008_linear,60
84,$400A_period,1077
84,$400B_length,10
84,$400C_const,0
84,$400C_vol,6
84,$400E_period,2
84,$400E_mode,0
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,1
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,4
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,2
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,4
86,$4000_duty,2
86,$4000_const,1
86,$4000_vol,2
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,4
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,3
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,4
88,$4000_duty,2
88,$4000_const,1
88,$4000_vol,3
88,$4004_duty,2
88,$4004_const,1
88,$4004_vol,4
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,4
89,$4004_duty,2
89,$4004_const,1
89,$4004_vol,4
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,4
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,4
91,$4000_duty,2
91,$4000_const,1
91,$4000_vol,5
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,4
92,$400C_const,0
92,$400C_vol,6
92,$400E_period,2
92,$400E_mode,0
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,5
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,4
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,4
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,4
94,$4000_duty,2
94,$4000_const,1
94,$4000_vol,4
94,$4004_duty,2
94,$4004_const,1
94,$4004_vol,4
95,$4000_duty,2
95,$4000_const,1
95,$4000_vol,4
95,$4004_duty,2
95,$4004_const,1
95,$4004_vol,4
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,4
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,4
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,4
97,$4004_duty,2
97,$4004_const,1
97,$4004_vol,4
98,$4000_duty,2
98,$4000_const,1
98,$4000_vol,4
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,4
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,4
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,4
100,$400C_const,0
100,$400C_vol,6
100,$400E_period,2
100,$400E_mode,0
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,4
