frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,12
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,10
0,$400C_const,1
0,$400C_vol,1
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,11
1,$400C_const,1
1,$400C_vol,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,10
2,$4008_linear,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,9
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,3
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,0
7,$4010_rate,15
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,14
7,$4002_period,513
7,$400B_length,33
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,15
7,$4006_period,3049
7,$400E_period,4
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,9
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,12
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,14
8,$400C_const,1
8,$400C_vol,6
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,11
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,13
9,$400C_const,1
9,$400C_vol,4
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,12
10,$400C_const,1
10,$400C_vol,2
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,9
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,4
11,$400C_const,1
11,$400C_vol,0
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,3
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,0
15,$4010_rate,15
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,0
15,$400C_const,1
15,$400C_vol,0
23,$4010_rate,14
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,12
23,$4006_period,1143
23,$4008_linear,127
23,$400A_period,509
23,$400B_length,48
23,$400E_period,3
23,$400E_mode,0
23,$400C_const,1
23,$400C_vol,4
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,10
24,$400C_const,1
24,$400C_vol,1
25,$400C_const,1
25,$400C_vol,0
26,$4008_linear,0
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,0
31,$4010_rate,15
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,5
