frame,parameter,value
0,$4002_period,1
0,$400B_length,0
0,$4006_period,1
0,$400A_period,1
0,$400B_length,0
1,$4002_period,1
1,$400B_length,0
1,$4006_period,1
1,$400A_period,1
1,$400B_length,0
2,$4002_period,1
2,$400B_length,0
2,$4006_period,1
2,$400A_period,1
2,$400B_length,0
3,$4002_period,1
3,$400B_length,0
3,$4006_period,1
3,$400A_period,1
3,$400B_length,0
4,$4002_period,1
4,$400B_length,0
4,$4006_period,1
4,$400A_period,1
4,$400B_length,0
5,$4002_period,1
5,$400B_length,0
5,$4006_period,1
5,$400A_period,1
5,$400B_length,0
6,$4002_period,1
6,$400B_length,0
6,$4006_period,1
6,$400A_period,1
6,$400B_length,0
7,$4002_period,1
7,$400B_length,0
7,$4006_period,1
7,$400A_period,1
7,$400B_length,0
8,$4002_period,1
8,$400B_length,0
8,$4006_period,1
8,$400A_period,1
8,$400B_length,0
9,$4002_period,1
9,$400B_length,0
9,$4006_period,1
9,$400A_period,1
9,$400B_length,0
10,$4002_period,1
10,$400B_length,0
10,$4006_period,1
10,$400A_period,1
10,$400B_length,0
11,$4002_period,1
11,$400B_length,0
11,$4006_period,1
11,$400A_period,1
11,$400B_length,0
12,$4002_period,1
12,$400B_length,0
12,$4006_period,1
12,$400A_period,1
12,$400B_length,0
13,$4002_period,1
13,$400B_length,0
13,$4006_period,1
13,$400A_period,1
13,$400B_length,0
14,$4002_period,1
14,$400B_length,0
14,$4006_period,1
14,$400A_period,1
14,$400B_length,0
15,$4002_period,1
15,$400B_length,0
15,$4006_period,1
15,$400A_period,1
15,$400B_length,0
16,$4002_period,1
16,$400B_length,0
16,$4006_period,1
16,$400A_period,1
16,$400B_length,0
17,$4002_period,1
17,$400B_length,0
17,$4006_period,1
17,$400A_period,1
17,$400B_length,0
18,$4002_period,1
18,$400B_length,0
18,$4006_period,1
18,$400A_period,1
18,$400B_length,0
19,$4002_period,1
19,$400B_length,0
19,$4006_period,1
19,$400A_period,1
19,$400B_length,0
20,$4002_period,1
20,$400B_length,0
20,$4006_period,1
20,$400A_period,1
20,$400B_length,0
21,$4002_period,1
21,$400B_length,0
