frame,parameter,value
173,$4000_duty,0
173,$4000_const,1
173,$4000_vol,0
173,$4004_duty,0
173,$4004_const,1
173,$4004_vol,0
173,$4008_linear,0
173,$400C_const,1
173,$400C_vol,0
173,$4001_sweep,8
173,$4005_sweep,8
481,$4000_duty,0
481,$4000_const,1
481,$4000_vol,0
481,$4004_duty,0
481,$4004_const,1
481,$4004_vol,0
481,$4008_linear,0
481,$400C_const,1
481,$400C_vol,0
481,$4001_sweep,8
481,$4005_sweep,8
481,$400C_const,1
481,$400C_vol,0
482,$4000_duty,1
482,$4000_const,1
482,$4000_vol,12
482,$4002_period,269
482,$400B_length,8
482,$4008_linear,127
482,$400A_period,679
482,$400B_length,9
483,$4000_duty,1
483,$4000_const,1
483,$4000_vol,8
483,$4008_linear,127
484,$4000_duty,1
484,$4000_const,1
484,$4000_vol,8
484,$4008_linear,127
485,$4000_duty,1
485,$4000_const,1
485,$4000_vol,8
485,$4008_linear,127
486,$4000_duty,1
486,$4000_const,1
486,$4000_vol,8
486,$4008_linear,127
487,$4000_duty,1
487,$4000_const,1
487,$4000_vol,8
487,$4008_linear,127
488,$4000_duty,1
488,$4000_const,1
488,$4000_vol,8
488,$4008_linear,127
489,$4000_duty,1
489,$4000_const,1
489,$4000_vol,8
489,$4008_linear,127
490,$4000_duty,1
490,$4000_const,1
490,$4000_vol,8
490,$4008_linear,127
491,$4000_duty,1
491,$4000_const,1
491,$4000_vol,8
491,$4008_linear,127
492,$4000_duty,1
492,$4000_const,1
492,$4000_vol,8
492,$4008_linear,127
493,$4000_duty,1
493,$4000_const,1
493,$4000_vol,8
493,$4008_linear,127
494,$4000_duty,1
494,$4000_const,1
494,$4000_vol,8
494,$4008_linear,127
495,$4000_duty,1
495,$4000_const,1
495,$4000_vol,8
495,$4008_linear,127
496,$4000_duty,1
496,$4000_const,1
496,$4000_vol,8
496,$4004_duty,1
496,$4004_const,1
496,$4004_vol,9
496,$4006_period,267
496,$4008_linear,127
497,$4000_duty,1
497,$4000_const,1
497,$4000_vol,8
497,$4004_duty,1
497,$4004_const,1
497,$4004_vol,5
497,$4008_linear,127
498,$4000_duty,1
498,$4000_const,1
498,$4000_vol,8
498,$4004_duty,1
498,$4004_const,1
498,$4004_vol,5
498,$4008_linear,0
499,$4000_duty,1
499,$4000_const,1
499,$4000_vol,8
499,$4004_duty,1
499,$4004_const,1
499,$4004_vol,5
499,$4008_linear,0
500,$4000_duty,1
500,$4000_const,1
500,$4000_vol,8
500,$4004_duty,1
500,$4004_const,1
500,$4004_vol,5
501,$4000_duty,1
501,$4000_const,1
501,$4000_vol,8
501,$4004_duty,1
501,$4004_const,1
501,$4004_vol,5
501,$4008_linear,127
501,$400A_period,539
501,$400B_length,9
502,$4000_duty,1
502,$4000_const,1
502,$4000_vol,8
502,$4004_duty,1
502,$4004_const,1
502,$4004_vol,5
502,$4008_linear,127
503,$4000_duty,1
503,$4000_const,1
503,$4000_vol,8
503,$4004_duty,1
503,$4004_const,1
503,$4004_vol,5
503,$4008_linear,127
504,$4000_duty,1
504,$4000_const,1
504,$4000_vol,8
504,$4004_duty,1
