frame,parameter,value
2173,$400C_const,1
2173,$400C_vol,0
2173,$400E_period,1
2173,$400E_mode,0
2195,$4000_duty,0
2195,$4000_const,0
2195,$4000_vol,8
2195,$4001_sweep,130
2195,$4002_period,509
2195,$400B_length,128
2195,$4004_duty,0
2195,$4004_const,0
2195,$4004_vol,8
2195,$4005_sweep,130
2195,$4006_period,381
2205,$4000_duty,0
2205,$4000_const,0
2205,$4000_vol,8
2205,$4001_sweep,141
2205,$4002_period,3049
2205,$400B_length,37
2205,$4004_duty,0
2205,$4004_const,0
2205,$4004_vol,8
2205,$4005_sweep,141
2205,$4006_period,2283
2213,$4000_duty,0
2213,$4000_const,0
2213,$4000_vol,8
2213,$4001_sweep,140
2213,$4002_period,2035
2213,$400B_length,35
2213,$4004_duty,0
2213,$4004_const,0
2213,$4004_vol,8
2213,$4005_sweep,140
2213,$4006_period,1525
2263,$400C_const,1
2263,$400C_vol,0
2263,$400E_period,1
2263,$400E_mode,0
2341,$4004_duty,1
2341,$4004_const,1
2341,$4004_vol,7
2341,$4005_sweep,127
2341,$4006_period,2563
2341,$400C_const,1
2341,$400C_vol,15
2341,$400E_period,15
2341,$400E_mode,0
2343,$400C_const,1
2343,$400C_vol,10
2343,$400E_period,15
2343,$400E_mode,0
2344,$400C_const,1
2344,$400C_vol,6
2344,$400E_period,15
2344,$400E_mode,0
2364,$400C_const,1
2364,$400C_vol,0
2364,$400E_period,1
2364,$400E_mode,0
2395,$4000_duty,0
2395,$4000_const,0
2395,$4000_vol,8
2395,$4001_sweep,130
2395,$4002_period,509
2395,$400B_length,128
2395,$4004_duty,0
2395,$4004_const,0
2395,$4004_vol,8
2395,$4005_sweep,130
2395,$4006_period,381
2405,$4000_duty,0
2405,$4000_const,0
2405,$4000_vol,8
2405,$4001_sweep,141
2405,$4002_period,3049
2405,$400B_length,37
2405,$4004_duty,0
2405,$4004_const,0
2405,$4004_vol,8
2405,$4005_sweep,141
2405,$4006_period,2283
2413,$4000_duty,0
2413,$4000_const,0
2413,$4000_vol,8
2413,$4001_sweep,140
2413,$4002_period,2035
2413,$400B_length,35
2413,$4004_duty,0
2413,$4004_const,0
2413,$4004_vol,8
2413,$4005_sweep,140
2413,$4006_period,1525
2491,$4004_duty,1
2491,$4004_const,1
2491,$4004_vol,7
2491,$4005_sweep,127
2491,$4006_period,2563
2491,$400C_const,1
2491,$400C_vol,15
2491,$400E_period,15
2491,$400E_mode,0
2493,$400C_const,1
2493,$400C_vol,10
2493,$400E_period,15
2493,$400E_mode,0
2494,$400C_const,1
2494,$400C_vol,6
2494,$400E_period,15
2494,$400E_mode,0
2523,$4004_duty,0
2523,$4004_const,0
2523,$4004_vol,8
2523,$4005_sweep,130
2523,$4006_period,63
2525,$4004_duty,0
2525,$4004_const,0
2525,$4004_vol,8
2525,$4005_sweep,130
2525,$4006_period,63
2528,$4004_duty,1
2528,$4004_const,1
2528,$4004_vol,15
2528,$4005_sweep,140
2528,$4006_period,1281
2532,$4004_duty,1
2532,$4004_const,1
2532,$4004_vol,15
2532,$4005_sweep,140
2532,$4006_period,1281
2534,$4004_duty,1
2534,$4004_const,1
2534,$4004_vol,15
2534,$4005_sweep,140
2534,$4006_period,1281
2538,$4004_duty,1
2538,$4004_const,1
2538,$4004_vol,15
2538,$4005_sweep,140
2538,$4006_period,1281
2540,$4004_duty,1
2540,$4004_const,1
2540,$4004_vol,15
2540,$4005_sweep,140
2540,$4006_period,1281
2544,$4004_duty,1
2544,$4004_const,1
2544,$4004_vol,15
2544,$4005_sweep,140
2544,$4006_period,1281
2546,$4000_duty,0
2546,$4000_const,0
2546,$4000_vol,15
2546,$4001_sweep,139
2546,$4002_period,509
2546,$400B_length,96
2546,$4004_duty,2
2546,$4004_const,0
2546,$4004_vol,1
2546,$4005_sweep,139
2546,$4006_period,85
2546,$400C_const,0
2546,$400C_vol,1
2546,$400E_period,2
2546,$400E_mode,0
2548,$400C_const,0
2548,$400C_vol,1
2548,$400E_period,1
2548,$400E_mode,0
2550,$4000_duty,0
2550,$4000_const,0
2550,$4000_vol,15
2550,$4001_sweep,139
2550,$4002_period,509
2550,$400B_length,96
2550,$4004_duty,2
2550,$4004_const,0
2550,$4004_vol,1
2550,$4005_sweep,139
2550,$4006_period,85
2550,$400C_const,0
2550,$400C_vol,1
2550,$400E_period,2
2550,$400E_mode,0
2552,$400C_const,0
2552,$400C_vol,1
2552,$400E_period,1
2552,$400E_mode,0
2561,$4004_duty,0
2561,$4004_const,0
2561,$4004_vol,8
2561,$4005_sweep,130
2561,$4006_period,63
2606,$400C_const,1
2606,$400C_vol,0
2606,$400E_period,1
2606,$400E_mode,0
2667,$4000_duty,2
2667,$4000_const,1
2667,$4000_vol,15
2667,$4001_sweep,139
2667,$4002_period,641
2667,$400B_length,1
2667,$4004_duty,2
2667,$4004_const,1
2667,$4004_vol,15
2667,$4005_sweep,139
2667,$4006_period,481
2670,$4000_duty,2
2670,$4000_const,1
2670,$4000_vol,15
2670,$4001_sweep,139
2670,$4002_period,571
2670,$400B_length,1
2670,$4004_duty,2
2670,$4004_const,1
2670,$4004_vol,15
2670,$4005_sweep,139
2670,$4006_period,427
2673,$4000_duty,2
2673,$4000_const,1
2673,$4000_vol,15
2673,$4001_sweep,139
2673,$4002_period,481
2673,$400B_length,0
2673,$4004_duty,2
2673,$4004_const,1
2673,$4004_vol,15
2673,$4005_sweep,139
2673,$4006_period,359
2676,$4000_duty,2
2676,$4000_const,1
2676,$4000_vol,12
2676,$4001_sweep,139
2676,$4002_period,381
2676,$400B_length,0
2676,$4004_duty,2
2676,$4004_const,1
2676,$4004_vol,12
2676,$4005_sweep,139
2676,$4006_period,285
2679,$4000_duty,2
2679,$4000_const,1
2679,$4000_vol,10
2679,$4001_sweep,139
2679,$4002_period,321
2679,$400B_length,0
2679,$4004_duty,2
2679,$4004_const,1
2679,$4004_vol,10
2679,$4005_sweep,139
2679,$4006_period,241
2682,$4000_duty,2
2682,$4000_const,1
2682,$4000_vol,7
2682,$4001_sweep,139
2682,$4002_period,269
2682,$400B_length,0
2682,$4004_duty,2
2682,$4004_const,1
2682,$4004_vol,7
2682,$4005_sweep,139
2682,$4006_period,201
2685,$4000_duty,2
2685,$4000_const,1
2685,$4000_vol,4
2685,$4001_sweep,139
2685,$4002_period,213
2685,$400B_length,0
2685,$4004_duty,2
2685,$4004_const,1
2685,$4004_vol,4
2685,$4005_sweep,139
2685,$4006_period,161
2694,$400C_const,1
2694,$400C_vol,0
2694,$400E_period,1
2694,$400E_mode,0
2718,$4000_duty,2
2718,$4000_const,1
2718,$4000_vol,15
2718,$4001_sweep,139
2718,$4002_period,641
2718,$400B_length,1
2718,$4004_duty,2
2718,$4004_const,1
2718,$4004_vol,15
2718,$4005_sweep,139
2718,$4006_period,481
2721,$4000_duty,2
2721,$4000_const,1
2721,$4000_vol,15
2721,$4001_sweep,139
2721,$4002_period,571
2721,$400B_length,1
2721,$4004_duty,2
2721,$4004_const,1
2721,$4004_vol,15
2721,$4005_sweep,139
2721,$4006_period,427
2724,$4000_duty,2
2724,$4000_const,1
2724,$4000_vol,15
2724,$4001_sweep,139
2724,$4002_period,481
2724,$400B_length,0
2724,$4004_duty,2
2724,$4004_const,1
2724,$4004_vol,15
2724,$4005_sweep,139
2724,$4006_period,359
2727,$4000_duty,2
2727,$4000_const,1
2727,$4000_vol,12
2727,$4001_sweep,139
2727,$4002_period,381
2727,$400B_length,0
2727,$4004_duty,2
2727,$4004_const,1
2727,$4004_vol,12
2727,$4005_sweep,139
2727,$4006_period,285
2730,$4000_duty,2
2730,$4000_const,1
2730,$4000_vol,10
2730,$4001_sweep,139
2730,$4002_period,321
2730,$400B_length,0
2730,$4004_duty,2
2730,$4004_const,1
2730,$4004_vol,10
2730,$4005_sweep,139
2730,$4006_period,241
2733,$4000_duty,2
2733,$4000_const,1
2733,$4000_vol,7
2733,$4001_sweep,139
2733,$4002_period,269
2733,$400B_length,0
2733,$4004_duty,2
2733,$4004_const,1
2733,$4004_vol,7
2733,$4005_sweep,139
2733,$4006_period,201
2736,$4000_duty,2
2736,$4000_const,1
2736,$4000_vol,4
2736,$4001_sweep,139
2736,$4002_period,213
2736,$400B_length,0
2736,$4004_duty,2
2736,$4004_const,1
2736,$4004_vol,4
2736,$4005_sweep,139
2736,$4006_period,161
2763,$4000_duty,0
2763,$4000_const,0
2763,$4000_vol,8
2763,$4001_sweep,130
2763,$4002_period,509
2763,$400B_length,128
2763,$4004_duty,0
2763,$4004_const,0
2763,$4004_vol,8
2763,$4005_sweep,130
2763,$4006_period,381
2763,$400C_const,1
2763,$400C_vol,0
2763,$400E_period,1
2763,$400E_mode,0
2773,$400C_const,1
2773,$400C_vol,9
2773,$400E_period,15
2773,$400E_mode,0
2776,$400C_const,1
2776,$400C_vol,0
2776,$400E_period,1
2776,$400E_mode,0
2838,$400C_const,1
2838,$400C_vol,0
2838,$400E_period,1
2838,$400E_mode,0
2900,$400C_const,1
2900,$400C_vol,0
2900,$400E_period,1
2900,$400E_mode,0
2925,$400C_const,1
2925,$400C_vol,0
2925,$400E_period,1
2925,$400E_mode,0
2947,$400C_const,1
2947,$400C_vol,0
2947,$400E_period,1
2947,$400E_mode,0
2971,$4004_duty,1
2971,$4004_const,1
2971,$4004_vol,7
2971,$4005_sweep,127
2971,$4006_period,2563
2971,$400C_const,1
2971,$400C_vol,15
2971,$400E_period,15
2971,$400E_mode,0
2973,$400C_const,1
2973,$400C_vol,10
2973,$400E_period,15
2973,$400E_mode,0
2974,$400C_const,1
2974,$400C_vol,6
2974,$400E_period,15
2974,$400E_mode,0
3003,$4004_duty,0
3003,$4004_const,0
3003,$4004_vol,8
3003,$4005_sweep,130
3003,$4006_period,63
3005,$4004_duty,0
3005,$4004_const,0
3005,$4004_vol,8
3005,$4005_sweep,130
3005,$4006_period,63
3007,$4004_duty,1
3007,$4004_const,1
3007,$4004_vol,15
3007,$4005_sweep,140
3007,$4006_period,1281
3011,$4004_duty,1
3011,$4004_const,1
3011,$4004_vol,15
3011,$4005_sweep,140
3011,$4006_period,1281
3013,$4004_duty,1
3013,$4004_const,1
3013,$4004_vol,15
3013,$4005_sweep,140
3013,$4006_period,1281
3017,$4004_duty,1
3017,$4004_const,1
3017,$4004_vol,15
3017,$4005_sweep,140
3017,$4006_period,1281
3019,$4004_duty,1
3019,$4004_const,1
3019,$4004_vol,15
3019,$4005_sweep,140
3019,$4006_period,1281
3023,$4004_duty,1
3023,$4004_const,1
3023,$4004_vol,15
3023,$4005_sweep,140
3023,$4006_period,1281
3025,$4000_duty,0
3025,$4000_const,0
3025,$4000_vol,15
3025,$4001_sweep,139
3025,$4002_period,509
3025,$400B_length,96
3025,$4004_duty,2
3025,$4004_const,0
3025,$4004_vol,1
3025,$4005_sweep,139
3025,$4006_period,85
3025,$400C_const,0
3025,$400C_vol,1
3025,$400E_period,2
3025,$400E_mode,0
3027,$400C_const,0
3027,$400C_vol,1
3027,$400E_period,1
3027,$400E_mode,0
3029,$4000_duty,0
3029,$4000_const,0
3029,$4000_vol,15
3029,$4001_sweep,139
3029,$4002_period,509
3029,$400B_length,96
3029,$4004_duty,2
3029,$4004_const,0
3029,$4004_vol,1
3029,$4005_sweep,139
3029,$4006_period,85
3029,$400C_const,0
3029,$400C_vol,1
3029,$400E_period,2
3029,$400E_mode,0
3031,$400C_const,0
3031,$400C_vol,1
3031,$400E_period,1
3031,$400E_mode,0
3120,$400C_const,1
3120,$400C_vol,0
3120,$400E_period,1
3120,$400E_mode,0
3135,$4004_duty,1
3135,$4004_const,1
3135,$4004_vol,7
3135,$4005_sweep,127
3135,$4006_period,2563
3135,$400C_const,1
3135,$400C_vol,15
3135,$400E_period,15
3135,$400E_mode,0
3137,$400C_const,1
3137,$400C_vol,10
3137,$400E_period,15
3137,$400E_mode,0
3138,$400C_const,1
3138,$400C_vol,6
3138,$400E_period,15
3138,$400E_mode,0
3155,$4004_duty,1
3155,$4004_const,1
3155,$4004_vol,7
3155,$4005_sweep,127
3155,$4006_period,2563
3155,$400C_const,1
3155,$400C_vol,15
3155,$400E_period,15
3155,$400E_mode,0
3157,$400C_const,1
3157,$400C_vol,10
3157,$400E_period,15
3157,$400E_mode,0
3158,$400C_const,1
3158,$400C_vol,6
3158,$400E_period,15
3158,$400E_mode,0
3171,$4004_duty,0
3171,$4004_const,0
3171,$4004_vol,8
3171,$4005_sweep,130
3171,$4006_period,63
3173,$4004_duty,1
3173,$4004_const,1
3173,$4004_vol,15
3173,$4005_sweep,140
3173,$4006_period,1281
3177,$4004_duty,1
3177,$4004_const,1
3177,$4004_vol,15
3177,$4005_sweep,140
3177,$4006_period,1281
3179,$4004_duty,1
3179,$4004_const,1
3179,$4004_vol,15
3179,$4005_sweep,140
3179,$4006_period,1281
3183,$4004_duty,1
3183,$4004_const,1
3183,$4004_vol,15
3183,$4005_sweep,140
3183,$4006_period,1281
3185,$4004_duty,1
3185,$4004_const,1
3185,$4004_vol,15
3185,$4005_sweep,140
3185,$4006_period,1281
3189,$4004_duty,1
3189,$4004_const,1
3189,$4004_vol,15
3189,$4005_sweep,140
3189,$4006_period,1281
3191,$4000_duty,0
3191,$4000_const,0
3191,$4000_vol,15
3191,$4001_sweep,139
3191,$4002_period,509
3191,$400B_length,96
3191,$4004_duty,2
3191,$4004_const,0
3191,$4004_vol,1
3191,$4005_sweep,139
3191,$4006_period,85
3191,$400C_const,0
3191,$400C_vol,1
3191,$400E_period,2
3191,$400E_mode,0
3193,$400C_const,0
3193,$400C_vol,1
3193,$400E_period,1
3193,$400E_mode,0
3195,$4000_duty,0
3195,$4000_const,0
3195,$4000_vol,15
3195,$4001_sweep,139
3195,$4002_period,509
3195,$400B_length,96
3195,$4004_duty,2
3195,$4004_const,0
3195,$4004_vol,1
3195,$4005_sweep,139
3195,$4006_period,85
3195,$400C_const,0
3195,$400C_vol,1
3195,$400E_period,2
3195,$400E_mode,0
3197,$400C_const,0
3197,$400C_vol,1
3197,$400E_period,1
3197,$400E_mode,0
3241,$4004_duty,1
3241,$4004_const,1
3241,$4004_vol,7
3241,$4005_sweep,127
3241,$4006_period,2563
3241,$400C_const,1
3241,$400C_vol,15
3241,$400E_period,15
3241,$400E_mode,0
3243,$400C_const,1
3243,$400C_vol,10
3243,$400E_period,15
3243,$400E_mode,0
3244,$400C_const,1
3244,$400C_vol,6
3244,$400E_period,15
3244,$400E_mode,0
3251,$4004_duty,0
3251,$4004_const,0
3251,$4004_vol,8
3251,$4005_sweep,130
3251,$4006_period,63
3253,$4004_duty,0
3253,$4004_const,0
3253,$4004_vol,8
3253,$4005_sweep,130
3253,$4006_period,63
3262,$4000_duty,0
3262,$4000_const,0
3262,$4000_vol,15
3262,$4001_sweep,139
3262,$4002_period,509
3262,$400B_length,96
3262,$4004_duty,2
3262,$4004_const,0
3262,$4004_vol,1
3262,$4005_sweep,139
3262,$4006_period,85
3262,$400C_const,0
3262,$400C_vol,1
3262,$400E_period,2
3262,$400E_mode,0
3264,$400C_const,0
3264,$400C_vol,1
3264,$400E_period,1
3264,$400E_mode,0
3266,$4000_duty,0
3266,$4000_const,0
3266,$4000_vol,15
3266,$4001_sweep,139
3266,$4002_period,509
3266,$400B_length,96
3266,$4004_duty,2
3266,$4004_const,0
3266,$4004_vol,1
3266,$4005_sweep,139
3266,$4006_period,85
3266,$400C_const,0
3266,$400C_vol,1
3266,$400E_period,2
3266,$400E_mode,0
3268,$400C_const,0
3268,$400C_vol,1
3268,$400E_period,1
3268,$400E_mode,0
3281,$4004_duty,0
3281,$4004_const,0
3281,$4004_vol,8
3281,$4005_sweep,130
3281,$4006_period,63
3289,$4004_duty,0
3289,$4004_const,0
3289,$4004_vol,8
3289,$4005_sweep,130
3289,$4006_period,63
3297,$4004_duty,1
3297,$4004_const,1
3297,$4004_vol,15
3297,$4005_sweep,140
3297,$4006_period,1281
3301,$4004_duty,1
3301,$4004_const,1
3301,$4004_vol,15
3301,$4005_sweep,140
3301,$4006_period,1281
3305,$4004_duty,1
3305,$4004_const,1
3305,$4004_vol,7
3305,$4005_sweep,127
3305,$4006_period,2563
3305,$400C_const,1
3305,$400C_vol,15
3305,$400E_period,15
3305,$400E_mode,0
3307,$400C_const,1
3307,$400C_vol,10
3307,$400E_period,15
3307,$400E_mode,0
3308,$400C_const,1
3308,$400C_vol,6
3308,$400E_period,15
3308,$400E_mode,0
3313,$4004_duty,1
3313,$4004_const,1
3313,$4004_vol,15
3313,$4005_sweep,140
3313,$4006_period,1281
3317,$4004_duty,1
3317,$4004_const,1
3317,$4004_vol,15
3317,$4005_sweep,140
3317,$4006_period,1281
3321,$4000_duty,0
3321,$4000_const,0
3321,$4000_vol,15
3321,$4001_sweep,139
3321,$4002_period,509
3321,$400B_length,96
3321,$4004_duty,2
3321,$4004_const,0
3321,$4004_vol,1
3321,$4005_sweep,139
3321,$4006_period,85
3321,$400C_const,0
3321,$400C_vol,1
3321,$400E_period,2
3321,$400E_mode,0
3323,$400C_const,0
3323,$400C_vol,1
3323,$400E_period,1
3323,$400E_mode,0
3325,$4000_duty,0
3325,$4000_const,0
3325,$4000_vol,15
3325,$4001_sweep,139
3325,$4002_period,509
3325,$400B_length,96
3325,$4004_duty,2
3325,$4004_const,0
3325,$4004_vol,1
3325,$4005_sweep,139
3325,$4006_period,85
3325,$400C_const,0
3325,$400C_vol,1
3325,$400E_period,2
3325,$400E_mode,0
3327,$400C_const,0
3327,$400C_vol,1
3327,$400E_period,1
3327,$400E_mode,0
3382,$400C_const,1
3382,$400C_vol,0
3382,$400E_period,1
3382,$400E_mode,0
3391,$4004_duty,1
3391,$4004_const,1
3391,$4004_vol,7
3391,$4005_sweep,127
3391,$4006_period,2563
3391,$400C_const,1
3391,$400C_vol,15
3391,$400E_period,15
3391,$400E_mode,0
3393,$400C_const,1
3393,$400C_vol,10
3393,$400E_period,15
3393,$400E_mode,0
3394,$400C_const,1
3394,$400C_vol,6
3394,$400E_period,15
3394,$400E_mode,0
3432,$400C_const,1
3432,$400C_vol,0
3432,$400E_period,1
3432,$400E_mode,0
3467,$4004_duty,1
3467,$4004_const,1
3467,$4004_vol,7
3467,$4005_sweep,127
3467,$4006_period,2563
3467,$400C_const,1
3467,$400C_vol,15
3467,$400E_period,15
3467,$400E_mode,0
3469,$400C_const,1
3469,$400C_vol,10
3469,$400E_period,15
3469,$400E_mode,0
3470,$400C_const,1
3470,$400C_vol,6
3470,$400E_period,15
3470,$400E_mode,0
3477,$4004_duty,0
3477,$4004_const,0
3477,$4004_vol,8
3477,$4005_sweep,130
3477,$4006_period,63
3484,$4004_duty,1
3484,$4004_const,1
3484,$4004_vol,15
3484,$4005_sweep,140
3484,$4006_period,1281
3488,$4004_duty,1
3488,$4004_const,1
3488,$4004_vol,15
3488,$4005_sweep,140
3488,$4006_period,1281
3494,$4004_duty,1
3494,$4004_const,1
3494,$4004_vol,15
3494,$4005_sweep,140
3494,$4006_period,1281
3499,$4004_duty,1
3499,$4004_const,1
3499,$4004_vol,7
3499,$4005_sweep,127
3499,$4006_period,2563
3499,$400C_const,1
3499,$400C_vol,15
3499,$400E_period,15
3499,$400E_mode,0
3501,$400C_const,1
3501,$400C_vol,10
3501,$400E_period,15
3501,$400E_mode,0
3502,$400C_const,1
3502,$400C_vol,6
3502,$400E_period,15
3502,$400E_mode,0
3504,$4004_duty,1
3504,$4004_const,1
3504,$4004_vol,15
3504,$4005_sweep,140
3504,$4006_period,1281
3508,$4004_duty,1
3508,$4004_const,1
3508,$4004_vol,15
3508,$4005_sweep,140
3508,$4006_period,1281
3514,$4000_duty,0
3514,$4000_const,0
3514,$4000_vol,15
3514,$4001_sweep,139
3514,$4002_period,509
3514,$400B_length,96
3514,$4004_duty,2
3514,$4004_const,0
3514,$4004_vol,1
3514,$4005_sweep,139
3514,$4006_period,85
3514,$400C_const,0
3514,$400C_vol,1
3514,$400E_period,2
3514,$400E_mode,0
3516,$400C_const,0
3516,$400C_vol,1
3516,$400E_period,1
3516,$400E_mode,0
