frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,6
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,6
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,6
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,6
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,6
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,6
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,6
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,6
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,6
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,6
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,6
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,6
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,6
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,6
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,6
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,6
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,6
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,6
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,6
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,6
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,6
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
21,$4002_period,3047
21,$400B_length,13
21,$4001_sweep,127
21,$4008_linear,127
21,$400A_period,1017
21,$400B_length,9
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,0
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,0
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,0
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,0
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,0
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,0
33,$4000_duty,0
33,$4000_const,1
33,$4000_vol,0
33,$4004_duty,0
33,$4004_const,1
33,$4004_vol,0
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,0
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,0
35,$4008_linear,0
35,$400A_period,1017
35,$400B_length,9
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,0
35,$4004_duty,0
35,$4004_const,1
35,$4004_vol,0
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,0
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,0
37,$4000_duty,0
37,$4000_const,1
37,$4000_vol,0
37,$4004_duty,0
37,$4004_const,1
37,$4004_vol,0
38,$4000_duty,0
38,$4000_const,1
38,$4000_vol,0
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,0
39,$4000_duty,0
39,$4000_const,1
39,$4000_vol,0
39,$4004_duty,0
39,$4004_const,1
39,$4004_vol,0
40,$4000_duty,0
40,$4000_const,1
40,$4000_vol,0
40,$4004_duty,0
40,$4004_const,1
40,$4004_vol,0
41,$4000_duty,0
41,$4000_const,1
41,$4000_vol,0
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,0
42,$4000_duty,0
42,$4000_const,1
42,$4000_vol,0
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,0
43,$4000_duty,0
43,$4000_const,1
43,$4000_vol,0
43,$4004_duty,0
43,$4004_const,1
43,$4004_vol,0
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,0
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,0
45,$4000_duty,0
45,$4000_const,1
45,$4000_vol,0
45,$4004_duty,0
45,$4004_const,1
45,$4004_vol,0
46,$4000_duty,0
46,$4000_const,1
46,$4000_vol,0
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,0
47,$4000_duty,0
47,$4000_const,1
47,$4000_vol,0
47,$4004_duty,0
47,$4004_const,1
47,$4004_vol,0
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,0
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,0
49,$4002_period,3047
49,$400B_length,13
49,$4001_sweep,127
49,$4006_period,117
49,$4005_sweep,127
49,$4008_linear,127
49,$400A_period,1017
49,$400B_length,9
49,$400C_const,0
49,$400C_vol,0
49,$400E_period,1
49,$400E_mode,0
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,4
49,$4004_duty,3
49,$4004_const,1
49,$4004_vol,10
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,5
50,$4004_duty,3
50,$4004_const,1
50,$4004_vol,9
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,6
51,$4004_duty,3
51,$4004_const,1
51,$4004_vol,8
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,7
52,$4004_duty,3
52,$4004_const,1
52,$4004_vol,7
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,8
53,$4004_duty,3
53,$4004_const,1
53,$4004_vol,6
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,7
54,$4004_duty,3
54,$4004_const,1
54,$4004_vol,5
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,6
55,$4004_duty,3
55,$4004_const,1
55,$4004_vol,4
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,5
56,$4004_duty,3
56,$4004_const,1
56,$4004_vol,3
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,6
57,$4004_duty,3
57,$4004_const,1
57,$4004_vol,2
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,6
58,$4004_duty,3
58,$4004_const,1
58,$4004_vol,7
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,6
59,$4004_duty,3
59,$4004_const,1
59,$4004_vol,7
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,6
60,$4004_duty,3
60,$4004_const,1
60,$4004_vol,6
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,6
61,$4004_duty,3
61,$4004_const,1
61,$4004_vol,5
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,6
62,$4004_duty,3
62,$4004_const,1
62,$4004_vol,4
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,6
63,$4004_duty,3
63,$4004_const,1
63,$4004_vol,4
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,6
64,$4004_duty,3
64,$4004_const,1
64,$4004_vol,3
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,6
65,$4004_duty,3
65,$4004_const,1
65,$4004_vol,2
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,6
66,$4004_duty,3
66,$4004_const,1
66,$4004_vol,2
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,6
67,$4004_duty,3
67,$4004_const,1
67,$4004_vol,2
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,6
68,$4004_duty,3
68,$4004_const,1
68,$4004_vol,5
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,6
69,$4004_duty,3
69,$4004_const,1
69,$4004_vol,5
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,6
70,$4004_duty,3
70,$4004_const,1
70,$4004_vol,5
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,6
71,$4004_duty,3
71,$4004_const,1
71,$4004_vol,4
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,6
72,$4004_duty,3
72,$4004_const,1
72,$4004_vol,3
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,6
73,$4004_duty,3
73,$4004_const,1
73,$4004_vol,2
74,$4000_duty,2
74,$4000_const,1
74,$4000_vol,6
74,$4004_duty,3
74,$4004_const,1
74,$4004_vol,2
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,6
75,$4004_duty,3
75,$4004_const,1
75,$4004_vol,2
76,$4000_duty,2
76,$4000_const,1
76,$4000_vol,6
76,$4004_duty,3
76,$4004_const,1
76,$4004_vol,1
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,6
77,$4004_duty,3
77,$4004_const,1
77,$4004_vol,1
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,6
78,$4004_duty,3
78,$4004_const,1
78,$4004_vol,4
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,6
79,$4004_duty,3
79,$4004_const,1
79,$4004_vol,4
80,$4000_duty,2
80,$4000_const,1
80,$4000_vol,6
80,$4004_duty,3
80,$4004_const,1
80,$4004_vol,3
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,6
81,$4004_duty,3
81,$4004_const,1
81,$4004_vol,2
82,$4000_duty,2
82,$4000_const,1
82,$4000_vol,6
82,$4004_duty,3
82,$4004_const,1
82,$4004_vol,1
83,$4000_duty,2
83,$4000_const,1
83,$4000_vol,6
83,$4004_duty,3
83,$4004_const,1
83,$4004_vol,2
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,6
84,$4004_duty,3
84,$4004_const,1
84,$4004_vol,2
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,6
85,$4004_duty,3
85,$4004_const,1
85,$4004_vol,1
86,$4000_duty,2
86,$4000_const,1
86,$4000_vol,6
86,$4004_duty,3
86,$4004_const,1
86,$4004_vol,1
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,6
87,$4004_duty,3
87,$4004_const,1
87,$4004_vol,1
88,$4000_duty,2
88,$4000_const,1
88,$4000_vol,6
88,$4004_duty,3
88,$4004_const,1
88,$4004_vol,2
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,6
89,$4004_duty,3
89,$4004_const,1
89,$4004_vol,2
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,6
90,$4004_duty,3
90,$4004_const,1
90,$4004_vol,2
91,$4000_duty,2
91,$4000_const,1
91,$4000_vol,6
91,$4004_duty,3
91,$4004_const,1
91,$4004_vol,1
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,6
92,$4004_duty,3
92,$4004_const,1
92,$4004_vol,1
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,6
93,$4004_duty,0
93,$4004_const,1
93,$4004_vol,0
94,$4000_duty,2
94,$4000_const,1
94,$4000_vol,6
94,$4004_duty,0
94,$4004_const,1
94,$4004_vol,0
95,$4000_duty,2
95,$4000_const,1
95,$4000_vol,6
95,$4004_duty,0
95,$4004_const,1
95,$4004_vol,0
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,6
96,$4004_duty,0
96,$4004_const,1
96,$4004_vol,0
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,6
97,$4004_duty,0
97,$4004_const,1
97,$4004_vol,0
98,$4000_duty,2
98,$4000_const,1
98,$4000_vol,6
98,$4004_duty,0
98,$4004_const,1
98,$4004_vol,0
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,6
99,$4004_duty,0
99,$4004_const,1
99,$4004_vol,0
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,6
100,$4004_duty,0
100,$4004_const,1
100,$4004_vol,0
101,$4000_duty,2
101,$4000_const,1
101,$4000_vol,6
101,$4004_duty,0
101,$4004_const,1
101,$4004_vol,0
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,6
102,$4004_duty,0
102,$4004_const,1
102,$4004_vol,0
103,$4000_duty,2
103,$4000_const,1
103,$4000_vol,6
103,$4004_duty,0
103,$4004_const,1
103,$4004_vol,0
104,$4000_duty,2
104,$4000_const,1
104,$4000_vol,6
104,$4004_duty,0
104,$4004_const,1
104,$4004_vol,0
105,$4000_duty,2
105,$4000_const,1
105,$4000_vol,6
105,$4004_duty,0
105,$4004_const,1
105,$4004_vol,0
106,$4000_duty,2
106,$4000_const,1
106,$4000_vol,6
106,$4004_duty,0
106,$4004_const,1
106,$4004_vol,0
107,$4000_duty,2
107,$4000_const,1
