frame,parameter,value
372,$4004_duty,0
372,$4004_const,1
372,$4004_vol,0
372,$4001_sweep,8
372,$4005_sweep,8
373,$4004_duty,0
373,$4004_const,1
373,$4004_vol,15
373,$4006_period,509
374,$4004_duty,0
374,$4004_const,1
374,$4004_vol,12
374,$4006_period,513
375,$4004_duty,0
375,$4004_const,1
375,$4004_vol,9
376,$4004_duty,0
376,$4004_const,1
376,$4004_vol,6
377,$4004_duty,0
377,$4004_const,1
377,$4004_vol,0
379,$4004_duty,0
379,$4004_const,1
379,$4004_vol,15
379,$4006_period,509
380,$4004_duty,0
380,$4004_const,1
380,$4004_vol,12
380,$4006_period,513
381,$4004_duty,0
381,$4004_const,1
381,$4004_vol,9
382,$4004_duty,0
382,$4004_const,1
382,$4004_vol,6
383,$4004_duty,0
383,$4004_const,1
383,$4004_vol,0
385,$4004_duty,0
385,$4004_const,1
385,$4004_vol,15
385,$4006_period,509
386,$4004_duty,0
386,$4004_const,1
386,$4004_vol,12
386,$4006_period,513
387,$4004_duty,0
387,$4004_const,1
387,$4004_vol,9
388,$4004_duty,0
388,$4004_const,1
388,$4004_vol,6
389,$4004_duty,0
389,$4004_const,1
389,$4004_vol,0
391,$4004_duty,0
391,$4004_const,1
391,$4004_vol,15
391,$4006_period,509
392,$4004_duty,0
392,$4004_const,1
392,$4004_vol,12
392,$4006_period,513
393,$4004_duty,0
393,$4004_const,1
393,$4004_vol,9
394,$4004_duty,0
394,$4004_const,1
394,$4004_vol,6
395,$4004_duty,0
395,$4004_const,1
395,$4004_vol,0
397,$4004_duty,0
397,$4004_const,1
397,$4004_vol,15
397,$4006_period,509
398,$4004_duty,0
398,$4004_const,1
398,$4004_vol,12
398,$4006_period,513
399,$4004_duty,0
399,$4004_const,1
399,$4004_vol,9
400,$4004_duty,0
400,$4004_const,1
400,$4004_vol,6
401,$4004_duty,0
401,$4004_const,1
401,$4004_vol,0
403,$4004_duty,0
403,$4004_const,1
403,$4004_vol,15
403,$4006_period,509
404,$4004_duty,0
404,$4004_const,1
404,$4004_vol,12
404,$4006_period,513
405,$4004_duty,0
405,$4004_const,1
405,$4004_vol,9
406,$4004_duty,0
406,$4004_const,1
406,$4004_vol,6
407,$4004_duty,0
407,$4004_const,1
407,$4004_vol,0
409,$4004_duty,0
409,$4004_const,1
409,$4004_vol,15
409,$4006_period,509
410,$4004_duty,0
410,$4004_const,1
410,$4004_vol,12
410,$4006_period,513
411,$4004_duty,0
411,$4004_const,1
411,$4004_vol,9
412,$4004_duty,0
412,$4004_const,1
412,$4004_vol,6
413,$4004_duty,0
413,$4004_const,1
413,$4004_vol,0
415,$4004_duty,0
415,$4004_const,1
415,$4004_vol,15
415,$4006_period,509
416,$4004_duty,0
416,$4004_const,1
416,$4004_vol,12
416,$4006_period,513
417,$4004_duty,0
417,$4004_const,1
417,$4004_vol,9
418,$4004_duty,0
418,$4004_const,1
418,$4004_vol,6
419,$4004_duty,0
419,$4004_const,1
419,$4004_vol,0
421,$4004_duty,0
421,$4004_const,1
421,$4004_vol,15
421,$4006_period,509
422,$4004_duty,0
422,$4004_const,1
422,$4004_vol,12
422,$4006_period,513
423,$4004_duty,0
423,$4004_const,1
423,$4004_vol,9
424,$4004_duty,0
424,$4004_const,1
424,$4004_vol,6
425,$4004_duty,0
425,$4004_const,1
425,$4004_vol,0
427,$4004_duty,0
427,$4004_const,1
427,$4004_vol,15
427,$4006_period,509
428,$4004_duty,0
428,$4004_const,1
428,$4004_vol,12
428,$4006_period,513
429,$4004_duty,0
429,$4004_const,1
429,$4004_vol,9
430,$4004_duty,0
430,$4004_const,1
430,$4004_vol,6
431,$4004_duty,0
431,$4004_const,1
431,$4004_vol,0
433,$4004_duty,0
433,$4004_const,1
433,$4004_vol,15
433,$4006_period,509
434,$4004_duty,0
434,$4004_const,1
434,$4004_vol,12
434,$4006_period,513
435,$4004_duty,0
435,$4004_const,1
435,$4004_vol,9
436,$4004_duty,0
436,$4004_const,1
436,$4004_vol,6
437,$4004_duty,0
437,$4004_const,1
437,$4004_vol,0
439,$4004_duty,0
439,$4004_const,1
439,$4004_vol,15
439,$4006_period,509
440,$4004_duty,0
440,$4004_const,1
440,$4004_vol,12
440,$4006_period,513
441,$4004_duty,0
441,$4004_const,1
441,$4004_vol,9
442,$4004_duty,0
442,$4004_const,1
442,$4004_vol,6
443,$4004_duty,0
443,$4004_const,1
443,$4004_vol,0
445,$4004_duty,0
445,$4004_const,1
445,$4004_vol,15
445,$4006_period,509
446,$4004_duty,0
446,$4004_const,1
446,$4004_vol,12
446,$4006_period,513
447,$4004_duty,0
447,$4004_const,1
447,$4004_vol,9
448,$4004_duty,0
448,$4004_const,1
448,$4004_vol,6
449,$4004_duty,0
449,$4004_const,1
449,$4004_vol,0
451,$4004_duty,0
451,$4004_const,1
451,$4004_vol,15
451,$4006_period,509
452,$4004_duty,0
452,$4004_const,1
452,$4004_vol,12
452,$4006_period,513
453,$4004_duty,0
453,$4004_const,1
453,$4004_vol,9
454,$4004_duty,0
454,$4004_const,1
454,$4004_vol,6
455,$4004_duty,0
455,$4004_const,1
455,$4004_vol,0
457,$4004_duty,0
457,$4004_const,1
457,$4004_vol,15
457,$4006_period,509
458,$4004_duty,0
458,$4004_const,1
458,$4004_vol,12
458,$4006_period,513
459,$4004_duty,0
459,$4004_const,1
459,$4004_vol,9
460,$4004_duty,0
460,$4004_const,1
460,$4004_vol,6
461,$4004_duty,0
461,$4004_const,1
461,$4004_vol,0
463,$4004_duty,0
463,$4004_const,1
463,$4004_vol,15
463,$4006_period,509
464,$4004_duty,0
464,$4004_const,1
464,$4004_vol,12
464,$4006_period,513
465,$4004_duty,0
465,$4004_const,1
465,$4004_vol,9
466,$4004_duty,0
466,$4004_const,1
466,$4004_vol,6
467,$4004_duty,0
467,$4004_const,1
467,$4004_vol,0
469,$4004_duty,0
469,$4004_const,1
469,$4004_vol,15
469,$4006_period,509
470,$4004_duty,0
470,$4004_const,1
470,$4004_vol,12
470,$4006_period,513
471,$4004_duty,0
471,$4004_const,1
471,$4004_vol,9
472,$4004_duty,0
472,$4004_const,1
472,$4004_vol,6
473,$4004_duty,0
473,$4004_const,1
473,$4004_vol,0
475,$4004_duty,0
475,$4004_const,1
475,$4004_vol,15
475,$4006_period,509
476,$4004_duty,0
476,$4004_const,1
476,$4004_vol,12
476,$4006_period,513
477,$4004_duty,0
477,$4004_const,1
