frame,parameter,value
0,$4000_duty,1
0,$4000_const,0
0,$4000_vol,2
0,$4001_sweep,10
0,$4002_period,639
0,$400B_length,33
0,$4004_duty,1
0,$4004_const,0
0,$4004_vol,2
0,$4005_sweep,160
0,$4006_period,379
0,$4008_linear,66
0,$400A_period,239
0,$400B_length,16
8,$4004_duty,1
8,$4004_const,0
8,$4004_vol,2
8,$4005_sweep,160
8,$4006_period,427
8,$4008_linear,66
8,$400A_period,253
8,$400B_length,16
9,$4000_duty,1
9,$4000_const,0
9,$4000_vol,2
9,$4001_sweep,10
9,$4002_period,319
9,$400B_length,32
24,$4004_duty,1
24,$4004_const,0
24,$4004_vol,2
24,$4005_sweep,160
24,$4006_period,479
24,$4008_linear,66
24,$400A_period,285
24,$400B_length,16
25,$4000_duty,1
25,$4000_const,0
25,$4000_vol,2
25,$4001_sweep,10
25,$4002_period,761
25,$400B_length,33
40,$4004_duty,1
40,$4004_const,0
40,$4004_vol,2
40,$4005_sweep,160
40,$4006_period,507
40,$4008_linear,66
40,$400A_period,319
40,$400B_length,16
41,$4000_duty,1
41,$4000_const,0
41,$4000_vol,2
41,$4001_sweep,10
41,$4002_period,855
41,$400B_length,33
56,$4004_duty,1
56,$4004_const,0
56,$4004_vol,2
56,$4005_sweep,160
56,$4006_period,569
56,$4008_linear,66
56,$400A_period,379
56,$400B_length,16
57,$4000_duty,1
57,$4000_const,0
57,$4000_vol,2
57,$4001_sweep,10
57,$4002_period,959
57,$400B_length,33
61,$4000_duty,0
61,$4000_const,1
61,$4000_vol,0
61,$4004_duty,0
61,$4004_const,1
61,$4004_vol,0
61,$4008_linear,16
61,$400C_const,1
61,$400C_vol,0
1344,$4001_sweep,8
1344,$4005_sweep,8
1505,$4000_duty,0
1505,$4000_const,1
1505,$4000_vol,0
1505,$4004_duty,0
1505,$4004_const,1
1505,$4004_vol,0
1505,$4008_linear,16
1505,$400C_const,1
1505,$400C_vol,0
1506,$4008_linear,127
1506,$400A_period,1663
1506,$400B_length,3
1506,$4004_duty,2
1506,$4004_const,1
1506,$4004_vol,8
1506,$4005_sweep,8
1506,$4006_period,4055
1506,$4000_duty,2
1506,$4000_const,1
1506,$4000_vol,15
1506,$4001_sweep,8
1506,$4002_period,4033
1506,$400B_length,7
1507,$4008_linear,127
1507,$4004_duty,2
1507,$4004_const,1
1507,$4004_vol,8
1507,$4005_sweep,8
1507,$4000_duty,2
1507,$4000_const,1
1507,$4000_vol,15
1507,$4001_sweep,8
1508,$4008_linear,127
1508,$4004_duty,2
1508,$4004_const,1
1508,$4004_vol,8
1508,$4005_sweep,8
1508,$4000_duty,2
1508,$4000_const,1
1508,$4000_vol,15
1508,$4001_sweep,8
1509,$4008_linear,127
1509,$4004_duty,2
1509,$4004_const,1
1509,$4004_vol,8
1509,$4005_sweep,8
1509,$4000_duty,2
1509,$4000_const,1
1509,$4000_vol,15
1509,$4001_sweep,8
1510,$4008_linear,127
1510,$4004_duty,2
1510,$4004_const,1
1510,$4004_vol,8
1510,$4005_sweep,8
1510,$4000_duty,2
1510,$4000_const,1
1510,$4000_vol,15
1510,$4001_sweep,8
1511,$4008_linear,127
1511,$4004_duty,2
1511,$4004_const,1
1511,$4004_vol,8
1511,$4005_sweep,8
1511,$4000_duty,2
1511,$4000_const,1
1511,$4000_vol,15
1511,$4001_sweep,8
1512,$4008_linear,127
1512,$4004_duty,2
1512,$4004_const,1
1512,$4004_vol,8
1512,$4005_sweep,8
1512,$4000_duty,2
1512,$4000_const,1
1512,$4000_vol,15
1512,$4001_sweep,8
1513,$4008_linear,127
1513,$4004_duty,2
1513,$4004_const,1
1513,$4004_vol,8
1513,$4005_sweep,8
1513,$4000_duty,2
1513,$4000_const,1
1513,$4000_vol,15
1513,$4001_sweep,8
1514,$4008_linear,127
1514,$400A_period,1533
1514,$400B_length,2
1514,$4004_duty,2
1514,$4004_const,1
1514,$4004_vol,8
1514,$4005_sweep,8
1514,$4000_duty,2
1514,$4000_const,1
1514,$4000_vol,15
1514,$4001_sweep,8
1515,$4008_linear,127
1515,$4004_duty,2
1515,$4004_const,1
1515,$4004_vol,8
1515,$4005_sweep,8
1515,$4000_duty,2
1515,$4000_const,1
1515,$4000_vol,15
1515,$4001_sweep,8
