frame,parameter,value
197,$4000_duty,0
197,$4000_const,1
197,$4000_vol,0
197,$4001_sweep,136
197,$4002_period,1
197,$400B_length,0
197,$4004_duty,0
197,$4004_const,1
197,$4004_vol,0
197,$4005_sweep,136
197,$4006_period,1
197,$4008_linear,0
197,$400A_period,1
197,$400B_length,0
197,$400C_const,1
197,$400C_vol,0
197,$400E_period,0
197,$400E_mode,0
198,$4000_duty,1
198,$4000_const,1
198,$4000_vol,8
198,$4002_period,3419
198,$400B_length,198
198,$4004_duty,1
198,$4004_const,1
198,$4004_vol,8
198,$4006_period,427
198,$4008_linear,16
198,$400A_period,853
198,$400B_length,193
198,$400E_period,14
198,$400E_mode,0
198,$400C_const,1
198,$400C_vol,15
199,$4000_duty,1
199,$4000_const,1
199,$4000_vol,9
199,$4004_duty,1
199,$4004_const,1
199,$4004_vol,9
199,$400E_period,15
199,$400E_mode,0
199,$400C_const,1
199,$400C_vol,10
200,$4000_duty,1
200,$4000_const,1
200,$4000_vol,5
200,$4004_duty,1
200,$4004_const,1
200,$4004_vol,5
200,$400E_period,13
200,$400E_mode,0
200,$400C_const,1
200,$400C_vol,3
201,$400C_const,1
201,$400C_vol,2
202,$4004_duty,1
202,$4004_const,1
202,$4004_vol,4
202,$400C_const,1
202,$400C_vol,0
202,$400E_period,0
202,$400E_mode,0
203,$4004_duty,1
203,$4004_const,1
203,$4004_vol,0
203,$4004_duty,1
203,$4004_const,1
203,$4004_vol,2
204,$4004_duty,1
204,$4004_const,1
204,$4004_vol,2
205,$4004_duty,1
205,$4004_const,1
205,$4004_vol,2
206,$4004_duty,1
206,$4004_const,1
206,$4004_vol,2
207,$4004_duty,1
207,$4004_const,1
207,$4004_vol,8
208,$4004_duty,1
208,$4004_const,1
208,$4004_vol,9
209,$4004_duty,1
209,$4004_const,1
209,$4004_vol,5
211,$4004_duty,1
211,$4004_const,1
211,$4004_vol,4
212,$4004_duty,1
212,$4004_const,1
212,$4004_vol,0
212,$4004_duty,1
212,$4004_const,1
212,$4004_vol,2
213,$4004_duty,1
213,$4004_const,1
213,$4004_vol,2
214,$4004_duty,1
214,$4004_const,1
214,$4004_vol,2
215,$4004_duty,1
215,$4004_const,1
215,$4004_vol,2
216,$4004_duty,1
216,$4004_const,1
216,$4004_vol,8
216,$400E_period,2
216,$400E_mode,0
216,$400C_const,1
216,$400C_vol,10
217,$4004_duty,1
217,$4004_const,1
217,$4004_vol,9
217,$400E_period,1
217,$400E_mode,0
217,$400C_const,1
217,$400C_vol,6
218,$4004_duty,1
218,$4004_const,1
218,$4004_vol,5
218,$400E_period,0
218,$400E_mode,0
218,$400C_const,1
218,$400C_vol,3
219,$400C_const,1
219,$400C_vol,0
219,$400E_period,0
219,$400E_mode,0
220,$4004_duty,1
220,$4004_const,1
220,$4004_vol,4
221,$4004_duty,1
221,$4004_const,1
221,$4004_vol,0
221,$4004_duty,1
221,$4004_const,1
221,$4004_vol,2
222,$4004_duty,1
222,$4004_const,1
222,$4004_vol,2
223,$4004_duty,1
223,$4004_const,1
223,$4004_vol,2
224,$4004_duty,1
224,$4004_const,1
224,$4004_vol,2
225,$4004_duty,1
225,$4004_const,1
225,$4004_vol,8
226,$4004_duty,1
226,$4004_const,1
226,$4004_vol,9
227,$4004_duty,1
227,$4004_const,1
227,$4004_vol,5
229,$4004_duty,1
229,$4004_const,1
229,$4004_vol,4
230,$4004_duty,1
230,$4004_const,1
230,$4004_vol,0
230,$4004_duty,1
230,$4004_const,1
230,$4004_vol,2
231,$4004_duty,1
231,$4004_const,1
231,$4004_vol,2
232,$4000_duty,1
232,$4000_const,1
232,$4000_vol,4
232,$4004_duty,1
232,$4004_const,1
232,$4004_vol,2
232,$4008_linear,0
233,$4000_duty,1
233,$4000_const,1
233,$4000_vol,0
233,$4004_duty,1
233,$4004_const,1
233,$4004_vol,2
234,$4000_duty,1
234,$4000_const,1
234,$4000_vol,8
234,$4004_duty,1
234,$4004_const,1
234,$4004_vol,8
234,$4008_linear,16
234,$400A_period,853
234,$400B_length,193
234,$400E_period,8
234,$400E_mode,0
234,$400C_const,1
234,$400C_vol,11
235,$4000_duty,1
235,$4000_const,1
235,$4000_vol,9
235,$4004_duty,1
235,$4004_const,1
235,$4004_vol,9
235,$400E_period,6
235,$400E_mode,0
235,$400C_const,1
235,$400C_vol,11
236,$4000_duty,1
236,$4000_const,1
236,$4000_vol,5
236,$4004_duty,1
236,$4004_const,1
236,$4004_vol,5
236,$400E_period,3
236,$400E_mode,0
236,$400C_const,1
236,$400C_vol,5
238,$4004_duty,1
238,$4004_const,1
238,$4004_vol,4
239,$4004_duty,1
239,$4004_const,1
239,$4004_vol,0
239,$4004_duty,1
239,$4004_const,1
239,$4004_vol,2
240,$4004_duty,1
240,$4004_const,1
240,$4004_vol,2
240,$400C_const,1
240,$400C_vol,4
241,$4000_duty,1
241,$4000_const,1
241,$4000_vol,4
241,$4004_duty,1
241,$4004_const,1
241,$4004_vol,2
241,$4008_linear,0
242,$4000_duty,1
242,$4000_const,1
242,$4000_vol,0
242,$4004_duty,1
242,$4004_const,1
242,$4004_vol,2
243,$4000_duty,1
243,$4000_const,1
243,$4000_vol,8
243,$4004_duty,1
243,$4004_const,1
243,$4004_vol,8
243,$4008_linear,16
243,$400A_period,853
243,$400B_length,193
243,$400E_period,8
243,$400E_mode,0
243,$400C_const,1
243,$400C_vol,11
244,$4000_duty,1
244,$4000_const,1
244,$4000_vol,9
244,$4004_duty,1
244,$4004_const,1
244,$4004_vol,9
244,$400E_period,6
244,$400E_mode,0
244,$400C_const,1
244,$400C_vol,11
245,$4000_duty,1
245,$4000_const,1
245,$4000_vol,5
245,$4004_duty,1
245,$4004_const,1
245,$4004_vol,5
245,$400E_period,3
245,$400E_mode,0
245,$400C_const,1
245,$400C_vol,5
247,$4004_duty,1
247,$4004_const,1
247,$4004_vol,4
