frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,3
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,5
0,$400C_const,1
0,$400C_vol,4
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,3
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,5
1,$400C_const,1
1,$400C_vol,4
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,3
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,5
2,$400C_const,1
2,$400C_vol,4
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,3
3,$4002_period,1023
3,$400B_length,1
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,5
3,$400C_const,1
3,$400C_vol,4
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,3
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,5
4,$400E_period,9
4,$400E_mode,0
4,$400C_const,1
4,$400C_vol,4
4,$400E_period,9
4,$400E_mode,0
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,3
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,5
5,$400C_const,1
5,$400C_vol,4
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,3
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,5
6,$400C_const,1
6,$400C_vol,4
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,3
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,5
7,$400C_const,1
7,$400C_vol,4
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,3
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,5
8,$400C_const,1
8,$400C_vol,4
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,3
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,5
9,$400C_const,1
9,$400C_vol,4
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,3
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,5
10,$400C_const,1
10,$400C_vol,4
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,3
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,5
11,$400E_period,10
11,$400E_mode,0
11,$400C_const,1
11,$400C_vol,4
11,$400E_period,10
11,$400E_mode,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,3
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,5
12,$400C_const,1
12,$400C_vol,4
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,3
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,5
13,$400C_const,1
13,$400C_vol,4
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,3
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,5
14,$400C_const,1
14,$400C_vol,4
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,3
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,5
15,$400C_const,1
15,$400C_vol,4
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,3
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,5
16,$400C_const,1
16,$400C_vol,4
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,3
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,5
17,$400C_const,1
17,$400C_vol,4
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,3
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,5
18,$400E_period,11
18,$400E_mode,0
18,$400C_const,1
18,$400C_vol,4
18,$400E_period,11
18,$400E_mode,0
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,3
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,5
19,$400C_const,1
19,$400C_vol,4
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,3
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,5
20,$400C_const,1
20,$400C_vol,4
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,3
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,5
21,$400C_const,1
21,$400C_vol,4
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,3
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,5
22,$400C_const,1
22,$400C_vol,4
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,3
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,5
23,$400C_const,1
23,$400C_vol,4
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,3
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,5
24,$400C_const,1
24,$400C_vol,4
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,3
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,5
25,$400E_period,12
25,$400E_mode,0
25,$400C_const,1
25,$400C_vol,4
25,$400E_period,12
25,$400E_mode,0
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,3
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,5
26,$400C_const,1
26,$400C_vol,4
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,3
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,5
27,$400C_const,1
27,$400C_vol,4
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,3
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,5
28,$400C_const,1
28,$400C_vol,4
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,3
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,5
29,$400C_const,1
29,$400C_vol,4
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,3
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,5
30,$400C_const,1
30,$400C_vol,4
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,3
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,5
31,$400C_const,1
31,$400C_vol,4
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,3
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,5
32,$400E_period,13
32,$400E_mode,0
32,$400C_const,1
32,$400C_vol,4
32,$400E_period,13
32,$400E_mode,0
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,3
33,$4004_duty,0
33,$4004_const,1
33,$4004_vol,5
33,$400C_const,1
33,$400C_vol,4
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,3
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,5
34,$400C_const,1
34,$400C_vol,4
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,3
35,$4002_period,511
35,$400B_length,0
35,$4004_duty,0
35,$4004_const,1
35,$4004_vol,5
35,$400C_const,1
35,$400C_vol,4
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,3
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,5
36,$400C_const,1
36,$400C_vol,4
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,3
37,$4004_duty,0
37,$4004_const,1
37,$4004_vol,5
37,$400C_const,1
37,$400C_vol,4
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,3
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,5
38,$400C_const,1
38,$400C_vol,4
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,3
39,$4004_duty,0
39,$4004_const,1
39,$4004_vol,5
39,$400E_period,14
39,$400E_mode,0
39,$400C_const,1
39,$400C_vol,4
39,$400E_period,14
39,$400E_mode,0
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,3
40,$4004_duty,0
40,$4004_const,1
40,$4004_vol,5
40,$400C_const,1
40,$400C_vol,4
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,3
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,5
41,$400C_const,1
41,$400C_vol,4
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,3
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,5
42,$400C_const,1
42,$400C_vol,4
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,3
43,$4004_duty,0
43,$4004_const,1
43,$4004_vol,5
43,$400C_const,1
43,$400C_vol,4
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,3
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,5
44,$400C_const,1
44,$400C_vol,4
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,3
45,$4004_duty,0
45,$4004_const,1
45,$4004_vol,5
45,$400C_const,1
45,$400C_vol,4
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,3
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,5
46,$400E_period,15
46,$400E_mode,0
46,$400C_const,1
46,$400C_vol,4
46,$400E_period,15
46,$400E_mode,0
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,3
47,$4004_duty,0
47,$4004_const,1
47,$4004_vol,5
47,$400C_const,1
47,$400C_vol,4
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,3
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,5
48,$400C_const,1
48,$400C_vol,4
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,3
49,$4004_duty,0
49,$4004_const,1
49,$4004_vol,5
49,$400C_const,1
49,$400C_vol,4
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,3
50,$4004_duty,0
50,$4004_const,1
50,$4004_vol,5
50,$400C_const,1
50,$400C_vol,4
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,3
51,$4004_duty,0
51,$4004_const,1
51,$4004_vol,5
51,$400C_const,1
51,$400C_vol,4
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,3
52,$4004_duty,0
52,$4004_const,1
52,$4004_vol,5
52,$400C_const,1
52,$400C_vol,4
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,3
53,$4004_duty,0
53,$4004_const,1
53,$4004_vol,5
53,$400E_period,15
53,$400E_mode,0
53,$400C_const,1
53,$400C_vol,4
53,$400E_period,15
53,$400E_mode,0
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,3
54,$4004_duty,0
54,$4004_const,1
54,$4004_vol,5
54,$400C_const,1
54,$400C_vol,4
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,3
55,$4004_duty,0
55,$4004_const,1
55,$4004_vol,5
55,$400C_const,1
55,$400C_vol,4
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,3
56,$4004_duty,0
56,$4004_const,1
56,$4004_vol,5
56,$400C_const,1
56,$400C_vol,4
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,3
57,$4004_duty,0
57,$4004_const,1
57,$4004_vol,5
57,$400C_const,1
57,$400C_vol,4
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,3
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,5
58,$400C_const,1
58,$400C_vol,4
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,3
59,$4004_duty,0
59,$4004_const,1
59,$4004_vol,5
59,$400C_const,1
59,$400C_vol,4
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,3
60,$4004_duty,0
60,$4004_const,1
60,$4004_vol,3
60,$400A_period,959
60,$400B_length,1
60,$400E_period,6
60,$400E_mode,0
60,$400C_const,1
60,$400C_vol,5
60,$400E_period,6
60,$400E_mode,0
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,3
61,$4004_duty,0
61,$4004_const,1
61,$4004_vol,3
61,$400A_period,1357
61,$400B_length,2
61,$400E_period,2
61,$400E_mode,0
61,$400C_const,1
61,$400C_vol,0
61,$400E_period,2
61,$400E_mode,0
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,3
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,3
62,$400A_period,1711
62,$400B_length,3
62,$400C_const,1
62,$400C_vol,0
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,3
63,$4004_duty,0
63,$4004_const,1
63,$4004_vol,3
63,$400C_const,1
63,$400C_vol,0
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,0
64,$4004_duty,0
64,$4004_const,1
64,$4004_vol,0
64,$400A_period,2155
64,$400B_length,4
64,$400C_const,1
64,$400C_vol,0
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,0
65,$4004_duty,0
65,$4004_const,1
65,$4004_vol,0
65,$400A_period,1
65,$400B_length,0
65,$400C_const,1
65,$400C_vol,0
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,0
66,$4004_duty,0
66,$4004_const,1
66,$4004_vol,0
66,$400C_const,1
66,$400C_vol,0
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,3
67,$4004_duty,0
67,$4004_const,1
67,$4004_vol,3
67,$400E_period,3
67,$400E_mode,0
67,$400C_const,1
67,$400C_vol,4
67,$400E_period,3
67,$400E_mode,0
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,3
68,$4004_duty,0
68,$4004_const,1
68,$4004_vol,3
68,$400E_period,2
68,$400E_mode,0
68,$400C_const,1
68,$400C_vol,4
68,$400E_period,2
68,$400E_mode,0
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,3
69,$4004_duty,0
69,$4004_const,1
69,$4004_vol,3
69,$400C_const,1
69,$400C_vol,3
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,0
70,$4004_duty,0
70,$4004_const,1
70,$4004_vol,0
70,$400C_const,1
70,$400C_vol,2
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,0
71,$4004_duty,0
71,$4004_const,1
71,$4004_vol,0
71,$400C_const,1
71,$400C_vol,1
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,0
72,$4004_duty,0
72,$4004_const,1
72,$4004_vol,0
72,$400C_const,1
72,$400C_vol,0
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,0
73,$4004_duty,0
73,$4004_const,1
73,$4004_vol,0
73,$400C_const,1
73,$400C_vol,0
74,$4000_duty,2
74,$4000_const,1
74,$4000_vol,3
74,$4004_duty,0
74,$4004_const,1
74,$4004_vol,3
74,$400A_period,719
74,$400B_length,1
74,$400E_period,3
74,$400E_mode,0
74,$400C_const,1
74,$400C_vol,4
74,$400E_period,3
74,$400E_mode,0
75,$4000_duty,2
