frame,parameter,value
6,$4001_sweep,127
6,$4005_sweep,127
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,7
7,$4002_period,1025
7,$400B_length,10
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,7
7,$4006_period,513
7,$4008_linear,16
7,$400A_period,513
7,$400B_length,9
7,$4010_rate,12
7,$4011_dac,0
7,$4012_addr,139
7,$4013_len,4
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,6
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,6
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,5
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,5
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,4
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,4
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,3
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,3
11,$4010_rate,12
11,$4011_dac,0
11,$4012_addr,139
11,$4013_len,4
12,$400C_const,1
12,$400C_vol,6
12,$400E_period,2
12,$400E_mode,0
13,$400C_const,1
13,$400C_vol,4
13,$400E_period,1
13,$400E_mode,0
15,$4010_rate,12
15,$4011_dac,0
15,$4012_addr,139
15,$4013_len,4
16,$400C_const,1
16,$400C_vol,6
16,$400E_period,2
16,$400E_mode,0
17,$400C_const,1
17,$400C_vol,4
17,$400E_period,1
17,$400E_mode,0
19,$4010_rate,13
19,$4011_dac,0
19,$4012_addr,133
19,$4013_len,24
20,$400C_const,1
20,$400C_vol,6
20,$400E_period,2
20,$400E_mode,0
21,$400C_const,1
21,$400C_vol,4
21,$400E_period,1
21,$400E_mode,0
23,$4010_rate,13
23,$4011_dac,0
23,$4012_addr,133
23,$4013_len,24
24,$400C_const,1
24,$400C_vol,6
24,$400E_period,2
24,$400E_mode,0
25,$400C_const,1
25,$400C_vol,4
25,$400E_period,1
25,$400E_mode,0
27,$4010_rate,13
27,$4011_dac,0
27,$4012_addr,133
27,$4013_len,24
28,$400C_const,1
28,$400C_vol,6
28,$400E_period,2
28,$400E_mode,0
29,$400C_const,1
29,$400C_vol,4
29,$400E_period,1
29,$400E_mode,0
31,$4010_rate,12
31,$4011_dac,0
31,$4012_addr,139
31,$4013_len,4
34,$400C_const,1
34,$400C_vol,3
34,$400E_period,1
34,$400E_mode,0
35,$4010_rate,12
35,$4011_dac,0
35,$4012_addr,139
35,$4013_len,4
36,$400C_const,1
36,$400C_vol,6
36,$400E_period,2
36,$400E_mode,0
37,$400C_const,1
37,$400C_vol,4
37,$400E_period,1
37,$400E_mode,0
39,$4010_rate,12
39,$4011_dac,0
39,$4012_addr,139
39,$4013_len,4
40,$400C_const,1
40,$400C_vol,6
40,$400E_period,2
40,$400E_mode,0
41,$400C_const,1
41,$400C_vol,4
41,$400E_period,1
41,$400E_mode,0
43,$4010_rate,13
43,$4011_dac,0
43,$4012_addr,133
43,$4013_len,24
44,$400C_const,1
44,$400C_vol,6
44,$400E_period,2
44,$400E_mode,0
45,$400C_const,1
45,$400C_vol,4
45,$400E_period,1
45,$400E_mode,0
47,$4010_rate,13
47,$4011_dac,0
47,$4012_addr,133
47,$4013_len,24
48,$400C_const,1
48,$400C_vol,6
48,$400E_period,2
48,$400E_mode,0
49,$400C_const,1
49,$400C_vol,4
49,$400E_period,1
49,$400E_mode,0
51,$4010_rate,13
51,$4011_dac,0
51,$4012_addr,133
51,$4013_len,24
52,$400C_const,1
52,$400C_vol,6
52,$400E_period,2
52,$400E_mode,0
53,$4006_period,1525
53,$400A_period,1525
53,$400B_length,10
53,$400C_const,1
53,$400C_vol,4
53,$400E_period,1
53,$400E_mode,0
55,$4010_rate,12
55,$4011_dac,0
55,$4012_addr,139
55,$4013_len,4
58,$400C_const,1
58,$400C_vol,3
58,$400E_period,1
58,$400E_mode,0
59,$4002_period,2045
59,$400B_length,11
59,$4010_rate,12
59,$4011_dac,0
59,$4012_addr,139
59,$4013_len,4
60,$400C_const,1
60,$400C_vol,6
60,$400E_period,2
60,$400E_mode,0
61,$400C_const,1
61,$400C_vol,4
61,$400E_period,1
61,$400E_mode,0
61,$4000_duty,0
61,$4000_const,1
61,$4000_vol,0
61,$4004_duty,0
61,$4004_const,1
61,$4004_vol,0
61,$400C_const,1
61,$400C_vol,0
61,$4001_sweep,127
61,$4005_sweep,127
370,$4000_duty,0
370,$4000_const,1
370,$4000_vol,0
370,$4004_duty,0
370,$4004_const,1
370,$4004_vol,0
370,$400C_const,1
370,$400C_vol,0
370,$4001_sweep,127
370,$4005_sweep,127
1677,$4000_duty,0
1677,$4000_const,1
1677,$4000_vol,0
1677,$4004_duty,0
1677,$4004_const,1
1677,$4004_vol,0
1677,$400C_const,1
1677,$400C_vol,0
1677,$4001_sweep,127
1677,$4005_sweep,127
1748,$4001_sweep,127
1748,$4005_sweep,127
1749,$4000_duty,1
1749,$4000_const,1
1749,$4000_vol,7
1749,$4002_period,1079
1749,$400B_length,10
1749,$4004_duty,1
1749,$4004_const,1
1749,$4004_vol,7
1749,$4006_period,677
1749,$4008_linear,16
1749,$400A_period,677
1749,$400B_length,9
1749,$4010_rate,12
1749,$4011_dac,0
1749,$4012_addr,139
1749,$4013_len,4
1750,$4000_duty,0
1750,$4000_const,1
1750,$4000_vol,6
1750,$4004_duty,0
1750,$4004_const,1
1750,$4004_vol,6
1751,$4000_duty,0
1751,$4000_const,1
1751,$4000_vol,5
1751,$4004_duty,0
1751,$4004_const,1
1751,$4004_vol,5
1752,$4000_duty,0
1752,$4000_const,1
1752,$4000_vol,4
1752,$4004_duty,0
1752,$4004_const,1
1752,$4004_vol,4
1753,$4000_duty,0
1753,$4000_const,1
1753,$4000_vol,3
1753,$4004_duty,0
1753,$4004_const,1
1753,$4004_vol,3
1753,$4010_rate,12
1753,$4011_dac,0
1753,$4012_addr,139
1753,$4013_len,4
